England and Wales, Total Population, Exposure to risk (cohort 1x10)     Last modified: 03-Nov-2010, MPv5 (May07)

   Year      Age       Female          Male         Total
1780-1789      2               .            .            . 
1780-1789      3               .            .            . 
1780-1789      4               .            .            . 
1780-1789      5               .            .            . 
1780-1789      6               .            .            . 
1780-1789      7               .            .            . 
1780-1789      8               .            .            . 
1780-1789      9               .            .            . 
1780-1789     10               .            .            . 
1780-1789     11               .            .            . 
1780-1789     12               .            .            . 
1780-1789     13               .            .            . 
1780-1789     14               .            .            . 
1780-1789     15               .            .            . 
1780-1789     16               .            .            . 
1780-1789     17               .            .            . 
1780-1789     18               .            .            . 
1780-1789     19               .            .            . 
1780-1789     20               .            .            . 
1780-1789     21               .            .            . 
1780-1789     22               .            .            . 
1780-1789     23               .            .            . 
1780-1789     24               .            .            . 
1780-1789     25               .            .            . 
1780-1789     26               .            .            . 
1780-1789     27               .            .            . 
1780-1789     28               .            .            . 
1780-1789     29               .            .            . 
1780-1789     30               .            .            . 
1780-1789     31               .            .            . 
1780-1789     32               .            .            . 
1780-1789     33               .            .            . 
1780-1789     34               .            .            . 
1780-1789     35               .            .            . 
1780-1789     36               .            .            . 
1780-1789     37               .            .            . 
1780-1789     38               .            .            . 
1780-1789     39               .            .            . 
1780-1789     40               .            .            . 
1780-1789     41               .            .            . 
1780-1789     42               .            .            . 
1780-1789     43               .            .            . 
1780-1789     44               .            .            . 
1780-1789     45               .            .            . 
1780-1789     46               .            .            . 
1780-1789     47               .            .            . 
1780-1789     48               .            .            . 
1780-1789     49               .            .            . 
1780-1789     50               .            .            . 
1780-1789     51               .            .            . 
1780-1789     52               .            .            . 
1780-1789     53               .            .            . 
1780-1789     54               .            .            . 
1780-1789     55               .            .            . 
1780-1789     56               .            .            . 
1780-1789     57               .            .            . 
1780-1789     58               .            .            . 
1780-1789     59               .            .            . 
1780-1789     60               .            .            . 
1780-1789     61       452301.32    409712.74    862014.06 
1780-1789     62       440418.88    396513.05    836931.93 
1780-1789     63       428418.68    383079.50    811498.17 
1780-1789     64       417406.97    370394.00    787800.96 
1780-1789     65       406868.08    358301.10    765169.18 
1780-1789     66       392172.35    343330.99    735503.34 
1780-1789     67       376382.74    327299.90    703682.63 
1780-1789     68       359663.20    310475.08    670138.28 
1780-1789     69       341540.35    292481.38    634021.72 
1780-1789     70       322036.96    273610.64    595647.60 
1780-1789     71       301911.74    255046.82    556958.56 
1780-1789     72       281809.63    236444.74    518254.37 
1780-1789     73       262001.16    218050.11    480051.26 
1780-1789     74       243066.67    200438.92    443505.59 
1780-1789     75       224666.15    183628.71    408294.86 
1780-1789     76       204923.57    166459.28    371382.85 
1780-1789     77       185449.64    149435.71    334885.34 
1780-1789     78       166424.48    132694.79    299119.27 
1780-1789     79       148097.56    116443.78    264541.33 
1780-1789     80       142707.57    109468.49    252176.05 
1780-1789     81       123958.94     93522.63    217481.57 
1780-1789     82       106175.90     78564.29    184740.20 
1780-1789     83        89576.62     64706.52    154283.15 
1780-1789     84        74304.93     52046.60    126351.53 
1780-1789     85        60829.99     41333.58    102163.57 
1780-1789     86        49526.28     32825.18     82351.46 
1780-1789     87        39744.09     25655.06     65399.16 
1780-1789     88        31403.99     19719.73     51123.72 
1780-1789     89        24323.40     14823.29     39146.69 
1780-1789     90        18417.36     10866.97     29284.33 
1780-1789     91        13656.46      7786.66     21443.12 
1780-1789     92         9912.95      5460.95     15373.89 
1780-1789     93         7039.30      3742.49     10781.78 
1780-1789     94         4899.63      2510.37      7410.00 
1780-1789     95         3353.94      1655.36      5009.30 
1780-1789     96         2255.74      1074.55      3330.29 
1780-1789     97         1480.14       678.48      2158.62 
1780-1789     98          950.57       419.04      1369.61 
1780-1789     99          599.49       254.35       853.84 
1780-1789    100          372.23       150.36       522.59 
1780-1789    101          225.33        85.37       310.70 
1780-1789    102          130.75        45.60       176.35 
1780-1789    103           72.03        21.93        93.97 
1780-1789    104           36.79         8.41        45.21 
1780-1789    105           16.23         1.69        17.92 
1780-1789    106            5.12         0.00         5.12 
1780-1789    107            0.65         0.00         0.65 
1780-1789    108            0.00         0.00         0.00 
1780-1789    109            0.00         0.00         0.00 
1780-1789    110+           0.00         0.00         0.00 
1790-1799      0               .            .            . 
1790-1799      1               .            .            . 
1790-1799      2               .            .            . 
1790-1799      3               .            .            . 
1790-1799      4               .            .            . 
1790-1799      5               .            .            . 
1790-1799      6               .            .            . 
1790-1799      7               .            .            . 
1790-1799      8               .            .            . 
1790-1799      9               .            .            . 
1790-1799     10               .            .            . 
1790-1799     11               .            .            . 
1790-1799     12               .            .            . 
1790-1799     13               .            .            . 
1790-1799     14               .            .            . 
1790-1799     15               .            .            . 
1790-1799     16               .            .            . 
1790-1799     17               .            .            . 
1790-1799     18               .            .            . 
1790-1799     19               .            .            . 
1790-1799     20               .            .            . 
1790-1799     21               .            .            . 
1790-1799     22               .            .            . 
1790-1799     23               .            .            . 
1790-1799     24               .            .            . 
1790-1799     25               .            .            . 
1790-1799     26               .            .            . 
1790-1799     27               .            .            . 
1790-1799     28               .            .            . 
1790-1799     29               .            .            . 
1790-1799     30               .            .            . 
1790-1799     31               .            .            . 
1790-1799     32               .            .            . 
1790-1799     33               .            .            . 
1790-1799     34               .            .            . 
1790-1799     35               .            .            . 
1790-1799     36               .            .            . 
1790-1799     37               .            .            . 
1790-1799     38               .            .            . 
1790-1799     39               .            .            . 
1790-1799     40               .            .            . 
1790-1799     41               .            .            . 
1790-1799     42               .            .            . 
1790-1799     43               .            .            . 
1790-1799     44               .            .            . 
1790-1799     45               .            .            . 
1790-1799     46               .            .            . 
1790-1799     47               .            .            . 
1790-1799     48               .            .            . 
1790-1799     49               .            .            . 
1790-1799     50               .            .            . 
1790-1799     51       666880.10    636227.31   1303107.41 
1790-1799     52       652617.98    620989.79   1273607.77 
1790-1799     53       639511.43    606618.25   1246129.69 
1790-1799     54       628668.45    594199.33   1222867.78 
1790-1799     55       619154.62    582997.27   1202151.88 
1790-1799     56       607159.47    569600.16   1176759.63 
1790-1799     57       594337.54    555250.07   1149587.61 
1790-1799     58       581189.08    540438.02   1121627.09 
1790-1799     59       566904.43    524365.22   1091269.65 
1790-1799     60       551160.84    506897.15   1058057.98 
1790-1799     61       534853.43    489520.42   1024373.85 
1790-1799     62       517687.60    471196.83    988884.43 
1790-1799     63       500403.56    452664.37    953067.93 
1790-1799     64       484712.29    435491.02    920203.31 
1790-1799     65       469856.95    419317.28    889174.22 
1790-1799     66       450765.87    400180.95    850946.82 
1790-1799     67       430794.99    380268.26    811063.25 
1790-1799     68       410275.24    359816.22    770091.46 
1790-1799     69       389028.21    338692.79    727721.01 
1790-1799     70       366602.29    316870.19    683472.48 
1790-1799     71       343367.90    295257.72    638625.62 
1790-1799     72       320053.27    273459.25    593512.52 
1790-1799     73       296966.13    251771.30    548737.43 
1790-1799     74       274691.36    230776.01    505467.37 
1790-1799     75       253205.97    210768.95    463974.92 
1790-1799     76       229985.11    190097.54    420082.65 
1790-1799     77       207424.32    169932.74    377357.06 
1790-1799     78       185569.23    150332.12    335901.35 
1790-1799     79       164269.06    131209.78    295478.85 
1790-1799     80       151602.08    118457.94    270060.02 
1790-1799     81       130765.20    100349.94    231115.13 
1790-1799     82       111211.00     83470.11    194681.11 
1790-1799     83        93025.00     67935.45    160960.45 
1790-1799     84        76360.21     53866.53    130226.74 
1790-1799     85        61839.50     42156.06    103995.56 
1790-1799     86        49974.13     33155.33     83129.46 
1790-1799     87        39719.22     25591.01     65310.23 
1790-1799     88        31038.86     19383.89     50422.75 
1790-1799     89        23890.84     14446.20     38337.04 
1790-1799     90        18136.50     10605.94     28742.44 
1790-1799     91        13510.71      7629.68     21140.39 
1790-1799     92         9815.73      5348.14     15163.87 
1790-1799     93         6944.03      3643.84     10587.87 
1790-1799     94         4787.19      2414.44      7201.63 
1790-1799     95         3209.64      1555.35      4764.99 
1790-1799     96         2093.30       970.25      3063.55 
1790-1799     97         1335.32       589.83      1925.15 
1790-1799     98          829.08       349.14      1178.23 
1790-1799     99          499.11       200.36       699.47 
1790-1799    100          290.72       111.04       401.76 
1790-1799    101          164.28        59.15       223.43 
1790-1799    102           91.38        29.63       121.01 
1790-1799    103           49.39        13.13        62.52 
1790-1799    104           25.34         4.00        29.34 
1790-1799    105           11.33         0.56        11.89 
1790-1799    106            3.44         0.18         3.62 
1790-1799    107            0.62         0.00         0.62 
1790-1799    108            0.00         0.00         0.00 
1790-1799    109            0.00         0.00         0.00 
1790-1799    110+           0.00         0.00         0.00 
1800-1809      0               .            .            . 
1800-1809      1               .            .            . 
1800-1809      2               .            .            . 
1800-1809      3               .            .            . 
1800-1809      4               .            .            . 
1800-1809      5               .            .            . 
1800-1809      6               .            .            . 
1800-1809      7               .            .            . 
1800-1809      8               .            .            . 
1800-1809      9               .            .            . 
1800-1809     10               .            .            . 
1800-1809     11               .            .            . 
1800-1809     12               .            .            . 
1800-1809     13               .            .            . 
1800-1809     14               .            .            . 
1800-1809     15               .            .            . 
1800-1809     16               .            .            . 
1800-1809     17               .            .            . 
1800-1809     18               .            .            . 
1800-1809     19               .            .            . 
1800-1809     20               .            .            . 
1800-1809     21               .            .            . 
1800-1809     22               .            .            . 
1800-1809     23               .            .            . 
1800-1809     24               .            .            . 
1800-1809     25               .            .            . 
1800-1809     26               .            .            . 
1800-1809     27               .            .            . 
1800-1809     28               .            .            . 
1800-1809     29               .            .            . 
1800-1809     30               .            .            . 
1800-1809     31               .            .            . 
1800-1809     32               .            .            . 
1800-1809     33               .            .            . 
1800-1809     34               .            .            . 
1800-1809     35               .            .            . 
1800-1809     36               .            .            . 
1800-1809     37               .            .            . 
1800-1809     38               .            .            . 
1800-1809     39               .            .            . 
1800-1809     40               .            .            . 
1800-1809     41       926430.34    892695.14   1819125.48 
1800-1809     42       912017.55    879320.67   1791338.22 
1800-1809     43       898703.32    866762.96   1765466.28 
1800-1809     44       886615.84    855096.15   1741711.99 
1800-1809     45       874509.37    843126.93   1717636.30 
1800-1809     46       861608.32    829961.21   1691569.53 
1800-1809     47       846869.48    814896.85   1661766.33 
1800-1809     48       830837.81    798439.24   1629277.05 
1800-1809     49       813553.51    780617.33   1594170.85 
1800-1809     50       795910.81    762311.38   1558222.19 
1800-1809     51       777374.01    743095.71   1520469.72 
1800-1809     52       759790.18    724550.21   1484340.39 
1800-1809     53       742901.12    706453.74   1449354.86 
1800-1809     54       728073.39    690132.50   1418205.89 
1800-1809     55       714759.44    675163.53   1389922.97 
1800-1809     56       699735.82    658633.06   1358368.88 
1800-1809     57       684439.48    641432.52   1325872.01 
1800-1809     58       669076.13    623751.79   1292827.91 
1800-1809     59       652500.17    604563.19   1257063.36 
1800-1809     60       634038.36    583584.02   1217622.39 
1800-1809     61       614988.27    562700.96   1177689.23 
1800-1809     62       595952.65    541760.22   1137712.87 
1800-1809     63       576483.84    520155.28   1096639.12 
1800-1809     64       557512.46    498761.72   1056274.18 
1800-1809     65       538723.45    477735.52   1016458.97 
1800-1809     66       516308.05    454574.16    970882.22 
1800-1809     67       493070.05    430655.43    923725.48 
1800-1809     68       469035.06    406094.97    875130.03 
1800-1809     69       443620.35    380504.08    824124.43 
1800-1809     70       416458.58    353936.75    770395.32 
1800-1809     71       388582.96    327772.76    716355.71 
1800-1809     72       361281.24    302165.35    663446.59 
1800-1809     73       334530.85    276981.04    611511.89 
1800-1809     74       308618.67    252523.46    561142.13 
1800-1809     75       283275.47    228953.52    512228.98 
1800-1809     76       256952.06    205670.04    462622.10 
1800-1809     77       231202.64    182830.02    414032.66 
1800-1809     78       206243.19    160648.02    366891.21 
1800-1809     79       182418.38    139477.37    321895.74 
1800-1809     80       165228.82    123687.06    288915.89 
1800-1809     81       142665.23    104613.15    247278.38 
1800-1809     82       121093.26     86679.54    207772.81 
1800-1809     83       100810.27     70106.69    170916.96 
1800-1809     84        82288.59     55199.34    137487.93 
1800-1809     85        66232.76     42869.97    109102.72 
1800-1809     86        53081.53     33395.88     86477.41 
1800-1809     87        41932.14     25627.15     67559.28 
1800-1809     88        32604.81     19351.08     51955.89 
1800-1809     89        24904.85     14354.21     39259.06 
1800-1809     90        18648.88     10441.89     29090.77 
1800-1809     91        13710.37      7462.39     21172.76 
1800-1809     92         9953.49      5265.85     15219.34 
1800-1809     93         7140.76      3681.67     10822.43 
1800-1809     94         5063.65      2551.27      7614.92 
1800-1809     95         3534.23      1745.22      5279.46 
1800-1809     96         2422.12      1182.64      3604.76 
1800-1809     97         1625.73       785.95      2411.68 
1800-1809     98         1065.97       508.20      1574.17 
1800-1809     99          679.92       319.75       999.66 
1800-1809    100          416.79       193.85       610.65 
1800-1809    101          244.55       113.21       357.76 
1800-1809    102          135.99        64.06       200.06 
1800-1809    103           70.78        34.55       105.32 
1800-1809    104           36.91        16.54        53.46 
1800-1809    105           17.95         6.16        24.11 
1800-1809    106            6.87         1.77         8.64 
1800-1809    107            2.23         0.49         2.72 
1800-1809    108            0.50         0.00         0.50 
1800-1809    109            0.00         0.00         0.00 
1800-1809    110+           0.00         0.00         0.00 
1810-1819      0               .            .            . 
1810-1819      1               .            .            . 
1810-1819      2               .            .            . 
