Female exposure to risk by calendar year, age and parity
Last modified: 25/09/2014
Code Year   Age            E0x            E1x            E2x            E3x           E4px
AUT  1994    18       44154.81        1568.89         134.04          13.03           0.97
AUT  1994    19       45559.93        3199.26         390.36          33.12           1.53
AUT  1994    20       44471.36        5333.30         891.42          76.02           3.50
AUT  1994    21       43968.18        7686.28        1730.95         167.38          17.00
AUT  1994    22       43976.13       10057.59        2917.25         334.41          37.17
AUT  1994    23       42310.75       12274.98        4457.14         573.45          64.76
AUT  1994    24       40584.10       14652.98        6698.84         938.19         137.03
AUT  1994    25       38848.05       16914.62        9444.33        1488.88         252.87
AUT  1994    26       34978.62       18385.25       12047.58        2112.49         395.55
AUT  1994    27       30676.13       19371.45       14896.98        2940.05         563.39
AUT  1994    28       26685.33       19619.49       17399.74        3943.30         825.37
AUT  1994    29       23996.11       20049.84       19940.80        4991.73        1155.25
AUT  1994    30       21249.80       19730.46       21861.92        5894.66        1483.19
AUT  1994    31       18895.63       19105.30       23346.75        6820.39        1877.33
AUT  1994    32       16600.96       18042.36       23659.77        7517.25        2218.73
AUT  1994    33       14725.78       17003.81       23501.67        8094.31        2594.51
AUT  1994    34       13184.03       16077.01       23189.44        8437.40        2972.27
AUT  1994    35       11993.39       15395.31       22838.93        8661.58        3198.71
AUT  1994    36       10973.56       14781.49       22361.51        8880.37        3345.31
AUT  1994    37       10325.42       14520.57       22200.88        9040.42        3633.55
AUT  1994    38        9518.50       13779.99       21472.30        8909.53        3888.42
AUT  1994    39        8531.28       12847.64       20201.69        8701.86        3923.59
AUT  1994    40        7859.41       12411.13       19435.74        8641.23        4093.44
AUT  1994    41        7423.50       12159.80       19144.02        8513.55        4315.95
AUT  1994    42        6960.56       11754.30       18688.80        8385.39        4379.38
AUT  1994    43        6661.26       11705.83       18471.08        8504.42        4728.85
AUT  1994    44        6519.44       11803.67       18650.48        8716.27        5061.28
AUT  1994    45        6789.16       12493.94       19503.52        9281.69        5479.42
AUT  1994    46        6833.87       12733.61       19375.72        9354.04        5718.80
AUT  1994    47        6537.85       12224.52       18863.83        9200.00        5979.44
AUT  1994    48        4896.21        9005.59       13602.56        6720.51        4635.29
AUT  1994    49        5901.55       10655.55       15613.83        7724.25        5472.15
AUT  1994    50        6533.54       11644.37       17231.56        8700.90        6265.10
AUT  1994    51        6181.34       10849.29       16351.56        8693.50        6533.29
AUT  1994    52        6718.77       11656.44       17593.75        9831.67        7734.22
AUT  1994    53        7234.77       12258.47       18437.21       10731.55        8878.77
AUT  1994    54        7642.97       12708.52       19433.83       11636.75       10293.39
AUT  1994    55        6124.45       10163.71       15677.10        9501.22        8619.32
AUT  1995    12       47222.66           0.00           0.00           0.00           0.00
AUT  1995    13       48174.40           2.51           0.00           0.00           0.00
AUT  1995    14       47252.39          10.18           1.03           0.00           0.00
AUT  1995    15       44362.94          48.01           1.47           0.00           0.00
AUT  1995    16       43566.97         199.60           2.52           0.00           0.00
AUT  1995    17       42908.11         601.24          27.46           1.99           0.00
AUT  1995    18       42670.79        1356.94         109.59           9.43           0.00
AUT  1995    19       43215.87        2736.22         308.34          30.47           1.95
AUT  1995    20       44010.84        4803.31         772.50          75.45           5.05
AUT  1995    21       42499.89        6988.83        1578.07         163.14          13.00
AUT  1995    22       41669.35        9204.60        2760.97         318.21          37.92
AUT  1995    23       41218.34       11385.56        4318.05         558.28          69.77
AUT  1995    24       39217.51       13441.71        6176.69         882.25         113.76
AUT  1995    25       37280.23       15721.20        8650.45        1357.88         215.76
AUT  1995    26       35329.30       17721.72       11578.88        2029.81         368.95
AUT  1995    27       31662.34       18686.87       14250.69        2769.33         545.24
AUT  1995    28       27717.10       19156.53       16989.70        3675.41         750.93
AUT  1995    29       24140.82       19162.42       19219.38        4730.46        1048.32
AUT  1995    30       21820.30       19537.46       21487.15        5804.81        1433.85
AUT  1995    31       19468.41       19139.95       23048.57        6646.08        1786.09
AUT  1995    32       17533.84       18477.97       24184.70        7487.01        2179.46
AUT  1995    33       15579.15       17469.79       24214.60        8078.58        2516.31
AUT  1995    34       13940.83       16532.52       23795.93        8577.74        2877.68
AUT  1995    35       12597.56       15781.20       23347.89        8821.74        3230.87
AUT  1995    36       11537.06       15183.51       22949.63        8937.47        3425.29
AUT  1995    37       10637.75       14564.60       22386.05        9054.47        3538.45
AUT  1995    38       10081.82       14348.33       22175.88        9158.83        3783.98
AUT  1995    39        9350.57       13670.86       21433.28        8992.38        4001.96
AUT  1995    40        8418.79       12781.02       20165.03        8735.92        4002.54
AUT  1995    41        7794.34       12367.02       19413.95        8665.46        4144.37
AUT  1995    42        7382.81       12127.28       19104.75        8535.05        4343.06
AUT  1995    43        6928.17       11723.97       18638.07        8388.29        4392.29
AUT  1995    44        6634.47       11675.16       18416.97        8492.08        4730.37
AUT  1995    45        6504.82       11782.48       18614.59        8707.55        5058.95
AUT  1995    46        6781.61       12478.35       19482.25        9271.06        5478.84
AUT  1995    47        6813.94       12697.90       19319.14        9325.95        5705.51
AUT  1995    48        6513.70       12179.38       18792.63        9166.12        5958.80
AUT  1995    49        4877.91        8971.43       13551.80        6695.82        4617.96
AUT  1995    50        5882.35       10620.30       15563.62        7698.22        5455.25
AUT  1995    51        6514.31       11610.10       17180.85        8674.28        6247.67
AUT  1995    52        6156.87       10806.33       16286.81        8658.58        6507.92
AUT  1995    53        6684.97       11597.80       17505.24        9781.67        7695.86
AUT  1995    54        7201.05       12201.34       18351.29       10681.54        8837.39
AUT  1995    55        7720.20       12861.36       19501.89       11537.44        9941.36
