Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 25/09/2014
Code Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
AUT  1972    20     0.107     0.095     0.011     0.001     0.000     0.000
AUT  1972    21     0.172     0.145     0.024     0.002     0.000     0.000
AUT  1972    22     0.247     0.198     0.044     0.005     0.001     0.000
AUT  1972    23     0.326     0.247     0.069     0.009     0.001     0.000
AUT  1972    24     0.412     0.297     0.100     0.013     0.002     0.000
AUT  1972    25     0.507     0.350     0.134     0.020     0.003     0.001
AUT  1972    26     0.604     0.400     0.170     0.029     0.004     0.001
AUT  1972    27     0.703     0.448     0.208     0.039     0.006     0.001
AUT  1972    28     0.803     0.496     0.246     0.050     0.009     0.002
AUT  1972    29     0.899     0.538     0.286     0.062     0.011     0.003
AUT  1972    30     0.994     0.577     0.325     0.074     0.015     0.004
AUT  1972    31     1.089     0.615     0.362     0.089     0.018     0.005
AUT  1972    32     1.176     0.647     0.397     0.103     0.022     0.006
AUT  1972    33     1.256     0.675     0.429     0.118     0.027     0.008
AUT  1972    34     1.330     0.699     0.458     0.131     0.031     0.010
AUT  1972    35     1.394     0.720     0.483     0.143     0.036     0.012
AUT  1972    36     1.448     0.738     0.504     0.153     0.039     0.013
AUT  1972    37     1.495     0.752     0.522     0.163     0.043     0.015
AUT  1972    38     1.536     0.764     0.537     0.172     0.046     0.018
AUT  1972    39         .         .         .         .         .         .
AUT  1972    40         .         .         .         .         .         .
AUT  1972    41         .         .         .         .         .         .
AUT  1972    42         .         .         .         .         .         .
AUT  1972    43         .         .         .         .         .         .
AUT  1972    44         .         .         .         .         .         .
AUT  1972    45         .         .         .         .         .         .
AUT  1972    46         .         .         .         .         .         .
AUT  1972    47         .         .         .         .         .         .
AUT  1972    48         .         .         .         .         .         .
AUT  1972    49         .         .         .         .         .         .
AUT  1972    50         .         .         .         .         .         .
AUT  1972    51         .         .         .         .         .         .
AUT  1972    52         .         .         .         .         .         .
AUT  1972    53         .         .         .         .         .         .
AUT  1972    54         .         .         .         .         .         .
AUT  1972    55         .         .         .         .         .         .
AUT  1973    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1973    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1973    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1973    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1973    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1973    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1973    18     0.027     0.025     0.002     0.000     0.000     0.000
AUT  1973    19     0.059     0.054     0.005     0.000     0.000     0.000
AUT  1973    20     0.111     0.098     0.013     0.001     0.000     0.000
AUT  1973    21     0.174     0.146     0.025     0.002     0.000     0.000
AUT  1973    22     0.244     0.195     0.044     0.005     0.000     0.000
AUT  1973    23     0.322     0.243     0.069     0.009     0.001     0.000
AUT  1973    24     0.407     0.293     0.099     0.014     0.002     0.000
AUT  1973    25     0.496     0.341     0.131     0.020     0.003     0.000
AUT  1973    26     0.591     0.391     0.166     0.028     0.004     0.001
AUT  1973    27     0.688     0.440     0.203     0.038     0.006     0.001
AUT  1973    28     0.787     0.486     0.243     0.048     0.008     0.002
AUT  1973    29     0.884     0.528     0.281     0.062     0.011     0.002
AUT  1973    30     0.982     0.570     0.319     0.075     0.014     0.003
AUT  1973    31     1.077     0.609     0.358     0.089     0.017     0.005
AUT  1973    32     1.167     0.643     0.394     0.102     0.022     0.006
AUT  1973    33     1.250     0.673     0.428     0.117     0.026     0.008
AUT  1973    34     1.322     0.697     0.457     0.129     0.030     0.009
AUT  1973    35     1.388     0.718     0.483     0.142     0.034     0.011
AUT  1973    36     1.447     0.737     0.506     0.153     0.038     0.013
AUT  1973    37     1.499     0.754     0.525     0.164     0.041     0.015
AUT  1973    38         .         .         .         .         .         .
AUT  1973    39         .         .         .         .         .         .
AUT  1973    40         .         .         .         .         .         .
AUT  1973    41         .         .         .         .         .         .
AUT  1973    42         .         .         .         .         .         .
AUT  1973    43         .         .         .         .         .         .
AUT  1973    44         .         .         .         .         .         .
AUT  1973    45         .         .         .         .         .         .
AUT  1973    46         .         .         .         .         .         .
AUT  1973    47         .         .         .         .         .         .
AUT  1973    48         .         .         .         .         .         .
AUT  1973    49         .         .         .         .         .         .
AUT  1973    50         .         .         .         .         .         .
AUT  1973    51         .         .         .         .         .         .
AUT  1973    52         .         .         .         .         .         .
AUT  1973    53         .         .         .         .         .         .
AUT  1973    54         .         .         .         .         .         .
AUT  1973    55         .         .         .         .         .         .
AUT  1974    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1974    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1974    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1974    15     0.000     0.000     0.000     0.000     0.000     0.000
