Census-based period fertility tables, birth orders 1 to 5+
Last modified: 25/09/2014
Code Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
AUT  1991    43   0.12678   0.00073   0.00073    2257      2    2257   7743   0.23586   0.00126   0.00126   2641      3    2640   5102   0.35885   0.00083   0.00083   3383      3    3384   1718   0.17314   0.00096   0.00096   1239      1    1240    479   0.10537   0.00598   0.00596    479      3     479    173
AUT  1991    44   0.12400   0.00076   0.00076    2256      2    2255   7744   0.23149   0.00049   0.00049   2639      1    2639   5105   0.35737   0.00048   0.00048   3384      2    3384   1721   0.17417   0.00174   0.00174   1241      2    1241    480   0.11297   0.00368   0.00368    480      2     481    176
AUT  1991    45   0.12605   0.00000   0.00000    2254      0    2254   7746   0.23178   0.00055   0.00055   2640      1    2639   5106   0.35011   0.00022   0.00022   3384      1    3384   1723   0.17287   0.00074   0.00074   1240      1    1240    482   0.11920   0.00108   0.00108    482      1     483    178
AUT  1991    46   0.13009   0.00000   0.00000    2254      0    2254   7746   0.23490   0.00028   0.00028   2638      1    2638   5108   0.34419   0.00019   0.00019   3384      1    3384   1723   0.17025   0.00026   0.00026   1240      0    1240    483   0.12057   0.00073   0.00073    483      0     483    179
AUT  1991    47   0.12971   0.00015   0.00015    2254      0    2254   7746   0.23115   0.00009   0.00009   2637      0    2638   5109   0.34209   0.00006   0.00006   3384      0    3385   1724   0.17269   0.00000   0.00000   1241      0    1241    483   0.12436   0.00016   0.00016    483      0     483    179
AUT  1991    48   0.12716   0.00000   0.00000    2254      0    2254   7746   0.22320   0.00000   0.00000   2638      0    2638   5109   0.33641   0.00000   0.00000   3385      0    3385   1724   0.17883   0.00000   0.00000   1241      0    1241    483   0.13441   0.00015   0.00015    483      0     483    179
AUT  1991    49   0.12551   0.00000   0.00000    2254      0    2254   7746   0.21773   0.00000   0.00000   2638      0    2638   5109   0.32864   0.00000   0.00000   3385      0    3385   1724   0.18366   0.00000   0.00000   1241      0    1241    483   0.14446   0.00013   0.00013    483      0     483    179
AUT  1991    50   0.12574   0.00000   0.00000    2254      0    2254   7746   0.21303   0.00000   0.00000   2638      0    2638   5109   0.32042   0.00000   0.00000   3385      0    3385   1724   0.18651   0.00000   0.00000   1241      0    1241    483   0.15430   0.00000   0.00000    483      0     483    179
AUT  1991    51   0.12384   0.00000   0.00000    2254      0    2254   7746   0.20592   0.00000   0.00000   2638      0    2638   5109   0.31489   0.00000   0.00000   3385      0    3385   1724   0.18855   0.00000   0.00000   1241      0    1241    483   0.16679   0.00000   0.00000    483      0     483    179
AUT  1991    52   0.12059   0.00000   0.00000    2254      0    2254   7746   0.19498   0.00000   0.00000   2638      0    2638   5109   0.30480   0.00000   0.00000   3385      0    3385   1724   0.19368   0.00000   0.00000   1241      0    1241    483   0.18595   0.00000   0.00000    483      0     483    179
