Crude birth rate
Last modified: 25/09/2014
Code Year      CBR
FRATNP  1968    16.75
FRATNP  1969    16.74
FRATNP  1970    16.75
FRATNP  1971    17.20
FRATNP  1972    16.98
FRATNP  1973    16.45
FRATNP  1974    15.28
FRATNP  1975    14.14
FRATNP  1976    13.62
FRATNP  1977    14.01
FRATNP  1978    13.81
FRATNP  1979    14.13
FRATNP  1980    14.86
FRATNP  1981    14.87
FRATNP  1982    14.63
FRATNP  1983    13.67
FRATNP  1984    13.81
FRATNP  1985    13.90
FRATNP  1986    14.02
FRATNP  1987    13.76
FRATNP  1988    13.75
FRATNP  1989    13.57
FRATNP  1990    13.45
FRATNP  1991    13.33
FRATNP  1992    12.99
FRATNP  1993    12.39
FRATNP  1994    12.33
FRATNP  1995    12.62
FRATNP  1996    12.66
FRATNP  1997    12.49
FRATNP  1998    12.64
FRATNP  1999    12.70
FRATNP  2000    13.12
FRATNP  2001    12.97
FRATNP  2002    12.72
FRATNP  2003    12.63
FRATNP  2004    12.65
FRATNP  2005    12.66
FRATNP  2006    12.94
FRATNP  2007    12.69
FRATNP  2008    12.78
FRATNP  2009    12.67
FRATNP  2010    12.74
FRATNP  2011    12.54
FRATNP  2012    12.44
DEUTNP  1956    15.98
DEUTNP  1957    16.36
DEUTNP  1958    16.38
DEUTNP  1959    17.20
DEUTNP  1960    17.31
DEUTNP  1961    17.89
DEUTNP  1962    17.78
DEUTNP  1963    18.14
DEUTNP  1964    18.02
DEUTNP  1965    17.44
DEUTNP  1966    17.21
DEUTNP  1967    16.53
DEUTNP  1968    15.71
DEUTNP  1969    14.66
DEUTNP  1970    13.40
DEUTNP  1971    12.94
DEUTNP  1972    11.46
DEUTNP  1973    10.34
DEUTNP  1974    10.20
DEUTNP  1975     9.94
DEUTNP  1976    10.19
DEUTNP  1977    10.31
DEUTNP  1978    10.35
DEUTNP  1979    10.46
DEUTNP  1980    11.06
DEUTNP  1981    11.00
DEUTNP  1982    11.00
DEUTNP  1983    10.60
DEUTNP  1984    10.43
DEUTNP  1985    10.48
DEUTNP  1986    10.92
DEUTNP  1987    11.15
DEUTNP  1988    11.43
DEUTNP  1989    11.18
DEUTNP  1990    11.41
DEUTNP  1991    10.38
DEUTNP  1992    10.04
DEUTNP  1993     9.84
