Period table mean ages at birth by birth order
Last modified: 25/09/2014
Code Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
BGR  1995    25.04    23.98    26.64    26.57    27.32    30.48
BGR  1996    25.18    24.15    26.70    26.63    27.19    30.37
BGR  1997    25.46    24.54    27.14    27.03    27.50    30.78
BGR  1998    25.51    24.56    27.24    26.69    27.32    30.33
BGR  1999    25.41    24.43    26.82    26.32    27.22    30.55
BGR  2000    25.66    24.68    27.16    26.60    27.54    30.65
BGR  2001    25.83    24.96    27.30    26.50    27.68    30.93
BGR  2002    26.03    25.19    27.48    26.49    27.57    30.85
BGR  2003    26.22    25.41    27.61    26.65    27.66    31.01
BGR  2004    26.28    25.46    27.60    26.69    27.40    31.00
BGR  2005    26.48    25.58    27.98    27.17    27.66    31.07
BGR  2006    26.56    25.66    28.02    27.04    27.36    30.80
BGR  2007    26.74    25.79    28.20    27.32    27.75    30.91
BGR  2008    26.73    25.62    28.33    27.62    27.97    31.02
BGR  2009    26.82    25.68    28.24    27.48    27.58    30.93
CAN  1974    27.02    25.12    27.68    30.03    31.30    32.69
CAN  1975    26.95    25.19    27.55    29.69    30.83    32.30
CAN  1976    27.01    25.39    27.61    29.65    30.89    32.21
CAN  1977    27.06    25.48    27.69    29.72    31.01    32.29
CAN  1978    27.15    25.71    27.76    29.70    30.87    32.10
CAN  1979    27.22    25.79    27.82    29.67    30.95    32.15
CAN  1980    27.23    25.80    27.83    29.68    30.98    32.24
CAN  1981    27.33    25.92    27.96    29.74    30.99    32.36
CAN  1982    27.34    25.95    27.97    29.67    30.90    32.34
CAN  1983    27.46    26.09    28.12    29.75    30.98    32.39
CAN  1984    27.57    26.19    28.21    29.82    30.94    32.59
CAN  1985    27.65    26.26    28.31    29.84    31.05    32.50
CAN  1986    27.72    26.33    28.38    29.90    31.05    32.62
CAN  1987    27.82    26.43    28.50    29.94    30.98    32.57
CAN  1988    27.86    26.40    28.58    29.99    31.04    32.73
CAN  1989    27.82    26.29    28.50    29.95    30.98    32.62
CAN  1990    27.83    26.22    28.52    29.95    31.01    32.65
CAN  1991    27.85    26.22    28.54    29.95    30.97    32.75
CAN  1992    27.97    26.36    28.68    30.04    30.96    32.70
CAN  1993    28.08    26.48    28.82    30.14    31.16    32.84
CAN  1994    28.14    26.53    28.91    30.20    31.09    32.72
CAN  1995    28.25    26.64    29.04    30.32    31.16    32.93
CAN  1996    28.46    26.88    29.33    30.54    31.36    33.05
CAN  1997    28.66    27.13    29.57    30.74    31.50    33.21
CAN  1998    28.70    27.20    29.61    30.76    31.47    33.14
CAN  1999    28.85    27.34    29.81    30.90    31.57    33.26
CAN  2000    29.03    27.54    30.04    31.09    31.68    33.27
CAN  2001    29.20    27.70    30.18    31.30    31.90    33.38
CAN  2002    29.36    27.86    30.40    31.44    31.97    33.43
CAN  2003    29.53    28.05    30.54    31.56    32.03    33.48
CAN  2004    29.67    28.19    30.71    31.64    32.13    33.62
CAN  2005    29.74    28.26    30.76    31.66    32.20    33.59
CAN  2006    29.78    28.29    30.77    31.61    32.02    33.56
CAN  2007    29.82    28.30    30.74    31.59    32.12    33.64
CAN  2008    29.87    28.35    30.74    31.62    32.10    33.57
CAN  2009    29.98    28.46    30.86    31.71    32.22    33.76
CZE  1950    27.70    23.15    26.36    29.38    31.55    34.94
CZE  1951    27.47    22.98    26.25    29.24    31.44    34.86
CZE  1952    27.32    22.94    26.32    29.33    31.51    34.95
CZE  1953    27.22    22.98    26.40    29.37    31.64    35.02
CZE  1954    27.04    22.94    26.31    29.39    31.63    34.92
CZE  1955    26.89    22.86    26.26    29.25    31.51    34.84
CZE  1956    26.64    22.71    26.12    29.17    31.38    34.53
CZE  1957    26.36    22.63    26.06    29.06    31.25    34.17
CZE  1958    25.90    22.71    26.08    28.98    31.19    33.96
CZE  1959    25.42    22.67    26.07    28.99    30.96    33.45
CZE  1960    25.33    22.62    26.07    28.96    30.87    33.08
CZE  1961    25.30    22.60    26.08    28.97    30.75    32.84
CZE  1962    25.21    22.53    25.99    28.72    30.64    32.68
CZE  1963    25.32    22.38    25.81    28.74    30.57    32.69
CZE  1964    25.47    22.39    25.87    28.89    30.84    32.84
CZE  1965    25.44    22.54    26.02    29.10    31.10    33.03
CZE  1966    25.26    22.59    26.12    29.10    30.95    32.82
CZE  1967    25.08    22.59    26.17    29.03    30.88    32.63
CZE  1968    25.03    22.65    26.26    29.05    30.60    32.46
CZE  1969    24.99    22.57    26.17    28.98    30.73    32.46
CZE  1970    24.94    22.52    26.11    28.98    30.65    32.49
CZE  1971    25.04    22.59    26.14    29.19    30.66    32.61
CZE  1972    25.04    22.59    25.90    28.98    30.55    32.52
CZE  1973    25.10    22.54    25.56    28.74    30.64    32.81
CZE  1974    25.06    22.38    25.28    28.67    30.66    32.98
CZE  1975    24.95    22.29    25.20    28.65    30.91    33.01
CZE  1976    24.90    22.28    25.18    28.71    30.88    32.96
CZE  1977    24.83    22.28    25.12    28.69    31.09    33.20
CZE  1978    24.77    22.22    25.06    28.66    30.99    33.08
CZE  1979    24.70    22.21    25.05    28.65    30.97    32.77
CZE  1980    24.59    22.30    25.21    28.67    30.81    32.78
CZE  1981    24.66    22.44    25.36    28.84    30.96    32.86
CZE  1982    24.63    22.45    25.32    28.71    30.76    32.82
CZE  1983    24.61    22.42    25.41    28.75    30.93    32.72
CZE  1984    24.58    22.39    25.42    28.76    30.78    32.56
CZE  1985    24.62    22.42    25.50    28.83    30.79    32.54
CZE  1986    24.69    22.48    25.63    28.98    30.85    32.74
CZE  1987    24.73    22.53    25.70    29.16    31.03    32.61
CZE  1988    24.77    22.52    25.72    29.18    30.94    32.74
CZE  1989    24.83    22.61    25.89    29.35    31.18    32.79
CZE  1990    24.84    22.59    25.85    29.36    31.15    32.83
CZE  1991    24.82    22.56    25.95    29.44    31.21    32.87
CZE  1992    25.00    22.90    26.25    29.43    31.10    32.79
CZE  1993    25.24    23.22    26.45    29.50    31.05    32.38
CZE  1994    25.70    23.94    27.01    29.98    31.20    32.61
CZE  1995    26.22    24.68    27.60    30.44    31.49    32.63
CZE  1996    26.62    25.20    28.06    30.79    31.59    32.53
CZE  1997    26.95    25.61    28.36    30.84    31.76    32.56
CZE  1998    27.22    25.95    28.59    30.99    31.82    32.56
CZE  1999    27.46    26.22    28.85    31.08    31.62    32.62
CZE  2000    27.75    26.51    29.12    31.33    31.76    32.60
CZE  2001    28.11    26.89    29.45    31.65    32.00    32.49
CZE  2002    28.34    27.13    29.64    31.83    32.12    32.65
CZE  2003    28.57    27.36    29.90    31.84    31.98    32.58
CZE  2004    28.83    27.62    30.12    31.99    31.96    32.49
CZE  2005    29.04    27.78    30.30    32.23    32.36    32.93
CZE  2006    29.28    28.00    30.53    32.36    32.50    32.80
CZE  2007    29.44    28.06    30.54    32.50    32.81    33.19
CZE  2008    29.55    28.05    30.69    32.70    33.22    33.74
CZE  2009    29.63    28.16    30.76    32.77    32.90    33.28
CZE  2010    29.78    28.31    30.93    32.73    32.77    33.13
CZE  2011    29.95    28.55    31.18    33.03    32.96    32.93
EST  1979    25.83    22.94    26.99    30.24    31.66    33.87
EST  1980    25.66    22.83    26.73    29.94    31.69    34.10
EST  1981    25.72    22.81    26.70    29.98    32.09    34.15
EST  1982    25.87    22.90    26.70    30.28    31.72    34.55
EST  1983    25.90    22.89    26.62    30.27    32.30    34.45
EST  1984    25.81    22.85    26.62    29.99    31.80    34.07
EST  1985    25.78    22.88    26.64    29.99    31.74    34.20
EST  1986    25.87    22.88    26.63    30.12    31.95    34.47
EST  1987    25.87    22.82    26.48    29.89    32.50    34.54
EST  1988    25.97    22.82    26.48    29.90    32.01    34.88
EST  1989    25.79    22.73    26.38    29.43    31.81    34.61
EST  1990    25.66    22.81    26.52    29.68    32.21    34.29
EST  1991    25.43    23.04    26.75    29.52    31.31    33.97
EST  1992    25.47    23.30    26.86    29.66    31.40    34.24
EST  1993    25.67    24.00    27.14    29.28    31.15    33.84
EST  1994    25.83    24.30    27.34    29.25    30.79    33.78
EST  1995    26.09    24.77    27.40    29.63    31.03    33.14
EST  1996    26.34    24.94    27.80    29.96    31.26    33.10
EST  1997    26.69    25.34    28.15    30.43    31.90    33.83
EST  1998    26.96    25.69    28.42    30.46    31.63    33.70
EST  1999    27.11    25.88    28.26    30.52    31.66    34.21
EST  2000    27.38    25.80    28.73    30.99    32.40    34.27
EST  2001    27.41    25.82    28.70    31.44    32.54    34.36
EST  2002    27.77    26.11    29.07    31.83    32.95    34.80
EST  2003    27.82    25.99    29.34    31.92    33.39    34.80
EST  2004    27.90    25.84    29.32    32.10    33.70    34.66
EST  2005    28.16    25.95    29.56    32.62    33.97    35.00
EST  2006    28.24    25.81    29.65    32.84    34.50    35.73
EST  2007    28.39    25.78    29.60    33.05    34.46    35.52
EST  2008    28.75    26.19    29.92    33.28    34.77    35.96
EST  2009    29.00    26.44    30.12    33.35    35.18    36.24
EST  2010    29.27    26.74    30.20    33.49    34.86    35.89
EST  2011    29.50    27.14    30.48    33.50    35.40    36.34
EST  2012    29.60    27.29    30.75    33.72    34.95    36.27
FIN  1987    28.73    26.96    29.16    31.73    33.66    35.46
FIN  1988    28.78    26.93    29.01    31.53    33.55    35.61
FIN  1989    28.82    26.96    29.07    31.42    33.23    35.38
FIN  1990    28.91    26.89    29.07    31.41    33.43    35.69
FIN  1991    28.89    26.90    29.09    31.39    33.27    35.48
FIN  1992    28.98    26.96    29.06    31.38    33.09    35.49
FIN  1993    29.06    27.15    29.22    31.39    33.01    35.48
FIN  1994    29.19    27.28    29.29    31.45    32.72    34.84
FIN  1995    29.36    27.52    29.53    31.66    33.18    35.39
FIN  1996    29.41    27.61    29.64    31.72    33.19    35.43
FIN  1997    29.50    27.72    29.79    31.89    33.37    35.22
FIN  1998    29.61    27.86    29.97    32.00    33.18    35.01
FIN  1999    29.60    27.77    29.93    31.99    33.08    35.04
FIN  2000    29.61    27.80    29.95    32.02    32.98    34.59
FIN  2001    29.68    27.86    30.03    31.95    33.15    34.78
FIN  2002    29.75    27.92    30.13    32.09    33.02    34.71
FIN  2003    29.86    28.01    30.28    32.18    33.11    34.59
FIN  2004    29.90    27.99    30.30    32.15    33.08    34.64
FIN  2005    29.93    28.04    30.34    32.17    33.01    34.53
FIN  2006    30.00    28.08    30.41    32.23    33.21    34.62
FIN  2007    30.07    28.17    30.46    32.30    33.12    34.69
FIN  2008    30.14    28.24    30.54    32.32    33.17    34.77
FIN  2009    30.14    28.24    30.55    32.25    33.02    34.89
DEUTE  1986    24.91    22.74    26.13    29.29    31.06    33.12
DEUTE  1987    25.12    22.88    26.21    29.42    31.42    33.44
DEUTE  1988    25.19    23.04    26.34    29.56    31.50    33.44
DEUTE  1989    25.27    23.24    26.52    29.61    31.48    33.47
HUN  1970    25.29    22.68    26.26    29.04    30.06    32.53
HUN  1971    25.23    22.68    26.21    28.93    30.06    32.60
HUN  1972    25.17    22.67    26.10    28.81    29.92    32.61
HUN  1973    25.22    22.69    26.07    28.75    30.03    32.88
HUN  1974    25.39    22.49    25.51    28.44    30.15    33.04
HUN  1975    25.25    22.32    25.29    28.55    30.53    33.19
HUN  1976    24.95    22.20    25.29    28.52    30.62    33.24
HUN  1977    24.85    22.23    25.33    28.65    30.79    33.21
HUN  1978    24.67    22.24    25.36    28.56    30.49    32.87
HUN  1979    24.56    22.24    25.38    28.45    30.02    32.40
HUN  1980    24.57    22.37    25.53    28.46    29.98    32.25
HUN  1981    24.70    22.51    25.69    28.52    29.99    32.29
HUN  1982    24.73    22.66    25.84    28.58    29.98    32.11
HUN  1983    24.83    22.79    26.04    28.67    29.89    32.16
HUN  1984    24.86    22.81    26.11    28.58    29.95    32.10
HUN  1985    25.02    22.85    26.09    28.69    29.94    31.98
HUN  1986    25.22    23.01    26.25    28.91    30.45    32.54
HUN  1987    25.37    23.14    26.37    29.10    30.65    32.73
HUN  1988    25.47    23.28    26.43    29.07    30.80    32.71
HUN  1989    25.60    23.43    26.48    29.10    30.74    32.93
HUN  1990    25.65    23.44    26.48    29.00    30.76    32.80
HUN  1991    25.77    23.53    26.56    29.16    30.93    33.00
HUN  1992    25.92    23.86    26.73    29.21    30.89    32.81
HUN  1993    26.16    24.19    27.01    29.26    30.82    32.82
HUN  1994    26.40    24.52    27.22    29.23    30.86    32.70
HUN  1995    26.57    24.90    27.37    29.19    30.77    32.72
HUN  1996    26.76    25.29    27.66    29.34    30.60    32.50
HUN  1997    26.97    25.63    27.93    29.20    30.17    32.32
HUN  1998    27.22    26.00    28.24    29.15    30.19    32.16
HUN  1999    27.47    26.39    28.44    29.26    30.15    32.07
HUN  2000    27.67    26.56    28.61    29.37    30.23    31.94
HUN  2001    27.94    26.84    28.86    29.55    30.35    32.14
HUN  2002    28.14    27.09    29.06    29.67    30.42    32.17
HUN  2003    28.36    27.41    29.26    29.74    30.31    32.06
HUN  2004    28.59    27.61    29.59    29.98    30.45    32.20
HUN  2005    28.81    27.88    29.69    30.20    30.54    32.09
HUN  2006    28.98    28.05    29.84    30.27    30.55    32.12
HUN  2007    29.15    28.25    30.05    30.40    30.69    32.10
HUN  2008    29.17    28.25    30.03    30.35    30.49    32.03
HUN  2009    29.33    28.40    30.25    30.66    30.61    32.08
JPN  1998    29.81    28.54    30.62    32.21    33.50    35.20
JPN  1999    29.82    28.55    30.69    32.26    33.53    35.06
JPN  2000    29.82    28.53    30.66    32.25    33.56    35.03
JPN  2001    29.81    28.53    30.65    32.23    33.53    35.01
JPN  2002    29.85    28.59    30.71    32.29    33.56    35.08
JPN  2003    29.99    28.81    30.84    32.32    33.54    35.05
JPN  2004    30.08    28.92    30.91    32.34    33.49    35.07
JPN  2005    30.17    29.05    31.01    32.34    33.49    35.03
JPN  2006    30.19    29.02    31.00    32.36    33.52    35.06
JPN  2007    30.32    29.12    31.13    32.46    33.61    35.13
JPN  2008    30.37    29.14    31.16    32.45    33.60    35.22
JPN  2009    30.50    29.27    31.33    32.59    33.76    35.28
LTU  1979    26.81    23.78    27.90    31.40    32.88    34.89
LTU  1980    26.60    23.68    27.78    31.18    32.41    34.59
LTU  1981    26.95    24.02    28.20    31.93    33.34    35.30
LTU  1982    26.98    24.01    28.16    31.71    33.28    35.26
LTU  1983    27.00    23.98    27.97    31.40    33.00    35.27
LTU  1984    26.96    23.93    27.97    31.60    32.97    35.05
LTU  1985    26.74    23.86    27.80    31.18    32.72    34.75
LTU  1986    26.85    23.88    27.87    31.37    32.93    35.33
LTU  1987    26.78    23.86    27.84    31.35    32.87    35.32
LTU  1988    26.21    23.69    27.30    30.12    31.76    33.76
LTU  1989    25.97    23.58    26.95    29.88    31.45    33.83
LTU  1990    25.96    23.48    26.84    29.78    31.57    33.96
LTU  1991    25.76    23.32    26.72    29.54    31.54    33.70
LTU  1992    25.72    23.28    26.73    29.54    31.57    33.53
LTU  1993    25.84    23.70    27.10    30.11    31.73    33.75
LTU  1994    25.77    23.89    27.14    29.77    31.15    33.34
LTU  1995    25.92    24.11    27.28    29.88    31.44    33.41
LTU  1996    26.08    24.27    27.46    30.29    31.72    33.50
LTU  1997    26.35    24.57    27.74    30.40    31.52    33.44
LTU  1998    26.67    24.90    27.92    30.61    31.78    33.84
LTU  1999    26.77    24.89    28.09    30.43    31.98    34.10
LTU  2000    26.83    24.92    28.34    30.73    31.91    33.61
LTU  2001    27.02    25.26    28.65    30.87    32.08    34.11
LTU  2002    27.06    25.37    28.79    30.94    31.53    33.92
LTU  2003    27.16    25.32    28.94    30.96    32.13    34.05
LTU  2004    27.44    25.62    29.27    31.53    32.10    33.98
LTU  2005    27.55    25.60    29.40    31.64    31.99    34.26
LTU  2006    27.70    25.74    29.61    31.93    32.47    33.63
LTU  2007    27.91    25.86    29.84    32.21    33.31    34.59
LTU  2008    28.14    26.05    29.94    32.54    33.21    34.27
LTU  2009    28.54    26.35    30.23    32.98    33.72    34.95
LTU  2010    28.89    26.87    30.37    32.94    34.06    35.09
LTU  2011    28.94    26.91    30.28    33.02    33.78    34.86
NLD  1980    27.79    26.36    28.34    30.32    31.74    33.89
NLD  1981    27.92    26.53    28.44    30.25    31.84    34.14
NLD  1982    28.09    26.76    28.60    30.34    31.92    34.40
NLD  1983    28.22    26.93    28.74    30.40    31.98    34.48
NLD  1984    28.33    27.01    28.84    30.48    32.08    34.78
NLD  1985    28.56    27.24    29.04    30.64    32.26    34.84
NLD  1986    28.76    27.46    29.20    30.72    32.37    35.18
NLD  1987    28.98    27.69    29.42    30.91    32.51    35.40
NLD  1988    29.12    27.82    29.64    31.06    32.55    35.44
NLD  1989    29.29    27.95    29.80    31.20    32.75    35.67
NLD  1990    29.40    27.98    29.93    31.39    32.75    35.74
NLD  1991    29.56    28.11    30.18    31.62    32.98    35.76
NLD  1992    29.79    28.38    30.43    31.86    33.05    35.77
NLD  1993    29.96    28.56    30.64    32.08    33.25    35.70
NLD  1994    30.03    28.62    30.76    32.11    33.09    35.56
NLD  1995    30.20    28.82    30.99    32.32    33.30    35.62
NLD  1996    30.32    28.95    31.12    32.49    33.46    35.59
NLD  1997    30.30    28.88    31.14    32.54    33.45    35.50
NLD  1998    30.34    28.86    31.19    32.59    33.36    35.48
NLD  1999    30.33    28.79    31.19    32.59    33.58    35.62
NLD  2000    30.30    28.66    31.13    32.58    33.75    35.69
NLD  2001    30.33    28.68    31.20    32.70    33.61    35.49
NLD  2002    30.35    28.70    31.20    32.70    33.75    35.77
NLD  2003    30.42    28.76    31.26    32.81    33.87    35.78
NLD  2004    30.52    28.88    31.37    32.94    34.05    35.83
NLD  2005    30.58    28.98    31.45    32.93    34.03    36.00
NLD  2006    30.63    29.05    31.44    32.93    34.12    36.00
NLD  2007    30.67    29.06    31.49    33.02    34.16    36.04
NLD  2008    30.70    29.07    31.45    33.02    34.28    36.30
NLD  2009    30.73    29.07    31.49    33.16    34.47    36.34
NOR  1985    27.62    25.56    28.49    30.98    33.29    34.92
NOR  1986    27.68    25.62    28.55    31.05    33.09    35.06
NOR  1987    27.84    25.77    28.63    31.10    33.20    35.22
NOR  1988    27.92    25.74    28.69    31.13    33.18    34.86
NOR  1989    28.03    25.78    28.74    31.20    33.03    35.06
NOR  1990    28.18    25.84    28.81    31.34    33.47    35.35
NOR  1991    28.37    26.03    29.04    31.51    33.52    35.49
NOR  1992    28.51    26.23    29.20    31.58    33.55    35.71
NOR  1993    28.69    26.39    29.38    31.86    33.77    35.64
NOR  1994    28.84    26.64    29.47    31.95    33.76    35.89
NOR  1995    28.94    26.74    29.57    32.07    33.98    35.67
NOR  1996    29.03    26.79    29.66    32.17    33.86    35.76
NOR  1997    29.17    26.97    29.82    32.23    34.07    35.68
NOR  1998    29.29    27.17    30.02    32.35    34.05    35.41
NOR  1999    29.36    27.22    30.06    32.38    34.07    35.71
NOR  2000    29.42    27.28    30.15    32.41    33.90    35.70
NOR  2001    29.56    27.50    30.36    32.60    34.10    35.60
NOR  2002    29.66    27.68    30.48    32.73    34.24    35.61
NOR  2003    29.80    27.80    30.64    32.76    34.15    35.80
NOR  2004    29.87    27.88    30.69    32.83    34.07    35.63
NOR  2005    29.91    27.98    30.71    32.73    34.12    35.73
NOR  2006    29.90    27.90    30.65    32.82    34.13    35.63
NOR  2007    29.98    27.98    30.75    32.82    34.22    35.68
NOR  2008    29.95    27.88    30.70    32.85    34.12    35.82
NOR  2009    30.02    27.94    30.76    32.91    34.16    36.02
PRT  1991    27.54    25.51    29.20    31.29    32.58    34.69
PRT  1992    27.67    25.66    29.40    31.57    32.60    34.69
PRT  1993    27.78    25.77    29.62    31.65    33.00    34.87
PRT  1994    27.98    26.07    29.91    31.83    33.07    34.77
PRT  1995    28.19    26.31    30.19    32.09    33.21    34.78
PRT  1996    28.31    26.41    30.27    32.09    33.18    34.63
PRT  1997    28.40    26.48    30.35    32.12    33.04    34.37
PRT  1998    28.58    26.65    30.55    32.26    33.00    34.44
PRT  1999    28.70    26.78    30.72    32.47    33.37    34.18
PRT  2000    28.75    26.78    30.78    32.54    33.35    34.04
PRT  2001    28.98    27.19    31.02    32.41    32.97    34.19
PRT  2002    29.07    27.25    31.17    32.59    33.15    34.03
PRT  2003    29.27    27.55    31.35    32.68    32.96    34.16
PRT  2004    29.44    27.78    31.49    32.78    32.93    34.11
PRT  2005    29.52    27.92    31.52    32.73    33.24    34.31
PRT  2006    29.71    28.19    31.72    32.85    33.37    34.80
PRT  2007    29.80    28.36    31.74    32.74    33.24    34.69
PRT  2008    29.87    28.43    31.71    32.75    33.34    34.61
PRT  2009    30.03    28.70    31.89    32.77    33.07    34.67
PRT  2010    30.15    28.86    31.83    32.77    33.20    35.01
PRT  2011    30.45    29.19    32.21    33.11    33.57    34.81
PRT  2012    30.59    29.43    32.38    33.15    33.44    34.62
RUS  1989    25.43    22.52    26.75    30.27    32.31    35.11
RUS  1990    25.20    22.43    26.87    30.16    32.13    34.84
RUS  1991    25.04    22.50    27.08    30.04    31.77    34.48
RUS  1992    24.93    22.68    27.33    29.95    31.48    34.25
RUS  1993    24.85    22.91    27.51    29.82    31.14    33.68
RUS  1994    24.82    22.86    27.52    29.67    30.88    33.26
RUS  1995    25.00    23.11    27.77    29.75    30.81    33.15
RUS  1996    25.26    23.46    28.07    30.00    31.00    33.18
RUS  1997    25.47    23.75    28.23    30.07    31.04    33.04
RUS  1998    25.64    23.91    28.38    30.22    31.21    33.15
RUS  1999    25.82    24.23    28.55    30.43    31.50    33.41
RUS  2000    26.00    24.43    28.54    30.51    31.74    33.64
RUS  2001    26.15    24.49    28.74    30.80    31.94    33.72
RUS  2002    26.28    24.49    28.78    30.91    32.13    34.01
RUS  2003    26.41    24.51    28.84    31.06    32.22    34.08
RUS  2004    26.54    24.61    28.97    31.20    32.45    34.28
RUS  2005    26.70    24.86    29.16    31.37    32.55    34.42
RUS  2006    26.78    24.93    29.22    31.45    32.68    34.45
RUS  2007    27.09    25.00    29.16    31.47    32.80    34.65
RUS  2008    27.27    24.97    29.16    31.64    33.15    35.04
RUS  2009    27.43    25.08    29.27    31.83    33.35    35.13
RUS  2010    27.65    25.26    29.35    32.08    33.62    35.34
SVK  1950    28.62    22.96    25.82    28.80    31.07    35.21
SVK  1951    28.49    22.87    25.72    28.70    31.02    35.17
SVK  1952    28.44    22.88    25.76    28.70    31.06    35.10
SVK  1953    28.38    22.91    25.92    28.86    31.23    35.18
SVK  1954    28.25    22.94    25.82    28.78    31.25    35.12
SVK  1955    28.17    22.77    25.74    28.84    31.29    35.19
SVK  1956    27.90    22.57    25.55    28.64    31.06    34.90
SVK  1957    27.74    22.59    25.56    28.69    31.08    34.84
SVK  1958    27.44    22.58    25.56    28.69    31.06    34.69
SVK  1959    26.99    22.56    25.57    28.67    30.95    34.39
SVK  1960    26.88    22.49    25.51    28.46    31.01    34.23
SVK  1961    26.72    22.42    25.56    28.65    30.82    34.04
SVK  1962    26.56    22.53    25.62    28.68    30.83    33.86
SVK  1963    26.67    22.51    25.59    28.63    30.90    33.75
SVK  1964    26.69    22.55    25.62    28.73    30.92    33.78
SVK  1965    26.60    22.66    25.70    28.79    30.88    33.63
SVK  1966    26.42    22.71    25.76    28.81    30.83    33.43
SVK  1967    26.25    22.78    25.92    28.89    30.88    33.45
SVK  1968    26.12    22.76    25.94    28.88    30.82    33.31
SVK  1969    26.07    22.71    25.84    28.72    30.60    33.22
SVK  1970    26.05    22.80    25.84    28.80    30.77    33.27
SVK  1971    26.06    22.88    25.89    28.90    30.77    33.28
SVK  1972    26.06    22.85    25.75    28.77    30.61    33.22
SVK  1973    26.07    22.88    25.56    28.59    30.65    33.16
SVK  1974    25.95    22.72    25.42    28.49    30.60    33.13
SVK  1975    25.82    22.75    25.45    28.51    30.53    32.89
SVK  1976    25.76    22.73    25.36    28.47    30.55    33.03
SVK  1977    25.63    22.69    25.36    28.44    30.61    33.00
