Completed cohort fertility and completed cohort fertility by age 40
Last modified: 25/09/2014
Code Cohort     CCF     CCF40
CZE  1939     2.090     2.078
CZE  1940     2.102     2.091
CZE  1941     2.064     2.055
CZE  1942     2.040     2.031
CZE  1943     2.066     2.057
CZE  1944     2.046     2.038
CZE  1945     2.022     2.014
CZE  1946     2.065     2.057
CZE  1947     2.086     2.078
CZE  1948     2.087     2.079
CZE  1949     2.098     2.090
CZE  1950     2.108     2.099
CZE  1951     2.107     2.097
CZE  1952     2.100     2.092
CZE  1953     2.086     2.077
CZE  1954     2.080     2.071
CZE  1955     2.076     2.067
CZE  1956     2.077     2.067
CZE  1957     2.069     2.059
CZE  1958     2.051     2.040
CZE  1959     2.040     2.027
CZE  1960     2.033     2.018
CZE  1961     2.022     2.006
CZE  1962         .     1.984
CZE  1963         .     1.958
CZE  1964         .     1.948
CZE  1965         .     1.931
CZE  1966         .     1.905
CZE  1967         .     1.885
CZE  1968         .     1.868
CZE  1969         .     1.872
CZE  1970         .     1.848
CZE  1971         .     1.838
EST  1944     1.889     1.863
EST  1945     1.873     1.844
EST  1946     1.889     1.862
EST  1947     1.910     1.885
EST  1948     1.916     1.891
EST  1949     1.988     1.966
EST  1950     1.964     1.943
EST  1951     2.002     1.984
EST  1952     1.951     1.935
EST  1953     1.963     1.947
EST  1954     1.973     1.955
EST  1955     1.969     1.950
EST  1956     2.021     2.003
EST  1957     2.026     2.005
EST  1958     2.033     2.013
EST  1959     2.057     2.035
EST  1960     2.059     2.035
EST  1961     1.990     1.966
EST  1962     1.964     1.935
EST  1963         .     1.875
EST  1964         .     1.844
EST  1965         .     1.860
EST  1966         .     1.815
EST  1967         .     1.824
EST  1968         .     1.820
EST  1969         .     1.802
EST  1970         .     1.806
EST  1971         .     1.772
EST  1972         .     1.749
FIN  1924     2.588     2.497
FIN  1925     2.580     2.500
FIN  1926     2.558     2.485
FIN  1927     2.545     2.483
FIN  1928     2.530     2.478
FIN  1929     2.481     2.438
FIN  1930     2.462     2.427
FIN  1931     2.437     2.404
FIN  1932     2.393     2.362
FIN  1933     2.354     2.323
FIN  1934     2.325     2.296
FIN  1935     2.299     2.269
FIN  1936     2.245     2.214
FIN  1937     2.175     2.143
FIN  1938     2.144     2.112
FIN  1939     2.108     2.074
FIN  1940     2.034     2.002
FIN  1941     1.973     1.939
FIN  1942     1.953     1.916
FIN  1943     1.921     1.885
FIN  1944     1.892     1.855
FIN  1945     1.881     1.845
FIN  1946     1.864     1.830
FIN  1947     1.863     1.825
FIN  1948     1.850     1.811
FIN  1949     1.859     1.818
FIN  1950     1.847     1.806
FIN  1951     1.865     1.823
FIN  1952     1.853     1.812
FIN  1953     1.859     1.817
FIN  1954     1.882     1.839
FIN  1955     1.896     1.853
FIN  1956     1.912     1.864
FIN  1957     1.935     1.886
FIN  1958     1.946     1.897
FIN  1959     1.947     1.897
FIN  1960         .     1.910
FIN  1961         .     1.898
FIN  1962         .     1.884
FIN  1963         .     1.887
FIN  1964         .     1.863
FIN  1965         .     1.864
FIN  1966         .     1.842
FIN  1967         .     1.827
FIN  1968         .     1.849
FIN  1969         .     1.836
FRATNP  1931     2.626     2.576
FRATNP  1932     2.630     2.584
FRATNP  1933     2.617     2.578
FRATNP  1934     2.602     2.569
FRATNP  1935     2.589     2.561
FRATNP  1936     2.548     2.522
FRATNP  1937     2.531     2.507
FRATNP  1938     2.489     2.466
FRATNP  1939     2.448     2.426
FRATNP  1940     2.423     2.395
FRATNP  1941     2.373     2.348
FRATNP  1942     2.313     2.288
FRATNP  1943     2.292     2.268
FRATNP  1944     2.268     2.243
FRATNP  1945     2.228     2.202
FRATNP  1946     2.174     2.149
FRATNP  1947     2.135     2.107
FRATNP  1948     2.119     2.090
FRATNP  1949     2.107     2.077
FRATNP  1950     2.117     2.085
FRATNP  1951     2.113     2.081
FRATNP  1952     2.123     2.089
FRATNP  1953     2.120     2.086
FRATNP  1954     2.124     2.089
FRATNP  1955     2.132     2.095
FRATNP  1956     2.141     2.102
FRATNP  1957     2.136     2.094
FRATNP  1958     2.135     2.092
FRATNP  1959     2.121     2.075
FRATNP  1960     2.118     2.069
FRATNP  1961     2.093     2.044
FRATNP  1962     2.082     2.031
FRATNP  1963         .     2.014
FRATNP  1964         .     1.990
FRATNP  1965         .     1.976
FRATNP  1966         .     1.960
FRATNP  1967         .     1.955
FRATNP  1968         .     1.949
FRATNP  1969         .     1.936
FRATNP  1970         .     1.935
FRATNP  1971         .     1.924
FRATNP  1972         .     1.921
DEUTNP  1941     1.916     1.902
DEUTNP  1942     1.865     1.851
DEUTNP  1943     1.829     1.815
DEUTNP  1944     1.800     1.786
DEUTNP  1945     1.795     1.779
DEUTNP  1946     1.795     1.778
DEUTNP  1947     1.769     1.753
DEUTNP  1948     1.749     1.731
DEUTNP  1949     1.735     1.717
DEUTNP  1950     1.723     1.705
DEUTNP  1951     1.693     1.675
DEUTNP  1952     1.687     1.668
DEUTNP  1953     1.676     1.657
DEUTNP  1954     1.658     1.638
DEUTNP  1955     1.674     1.654
DEUTNP  1956     1.671     1.649
DEUTNP  1957     1.660     1.637
DEUTNP  1958     1.662     1.638
DEUTNP  1959     1.661     1.636
DEUTNP  1960     1.659     1.632
DEUTNP  1961         .     1.608
DEUTNP  1962         .     1.586
DEUTNP  1963         .     1.559
DEUTNP  1964         .     1.534
DEUTNP  1965         .     1.515
DEUTNP  1966         .     1.486
DEUTNP  1967         .     1.458
DEUTNP  1968         .     1.446
DEUTNP  1969         .     1.445
DEUTNP  1970         .     1.453
DEUTW  1941     1.902     1.887
DEUTW  1942     1.850     1.834
DEUTW  1943     1.809     1.793
DEUTW  1944     1.777     1.761
DEUTW  1945     1.774     1.757
DEUTW  1946     1.778     1.761
DEUTW  1947     1.750     1.732
DEUTW  1948     1.728     1.708
DEUTW  1949     1.714     1.694
DEUTW  1950     1.700     1.679
DEUTW  1951     1.658     1.638
DEUTW  1952     1.647     1.626
DEUTW  1953     1.630     1.608
DEUTW  1954     1.606     1.584
DEUTW  1955     1.623     1.600
DEUTW  1956     1.620     1.596
DEUTW  1957     1.604     1.578
DEUTW  1958     1.607     1.581
DEUTW  1959     1.605     1.578
DEUTW  1960     1.607     1.578
DEUTW  1961         .     1.556
DEUTW  1962         .     1.540
DEUTW  1963         .     1.518
DEUTW  1964         .     1.501
DEUTW  1965         .     1.488
DEUTW  1966         .     1.465
DEUTW  1967         .     1.438
DEUTW  1968         .     1.430
DEUTW  1969         .     1.439
DEUTW  1970         .     1.457
DEUTE  1941     1.952     1.945
DEUTE  1942     1.901     1.893
DEUTE  1943     1.891     1.884
DEUTE  1944     1.873     1.867
DEUTE  1945     1.861     1.854
DEUTE  1946     1.866     1.858
DEUTE  1947     1.836     1.829
DEUTE  1948     1.828     1.821
DEUTE  1949     1.804     1.797
DEUTE  1950     1.791     1.784
DEUTE  1951     1.795     1.788
DEUTE  1952     1.803     1.796
DEUTE  1953     1.809     1.802
DEUTE  1954     1.809     1.801
DEUTE  1955     1.816     1.808
DEUTE  1956     1.814     1.804
DEUTE  1957     1.827     1.816
DEUTE  1958     1.821     1.809
DEUTE  1959     1.819     1.806
DEUTE  1960     1.795     1.782
DEUTE  1961         .     1.747
DEUTE  1962         .     1.707
DEUTE  1963         .     1.661
DEUTE  1964         .     1.618
DEUTE  1965         .     1.584
DEUTE  1966         .     1.544
DEUTE  1967         .     1.530
DEUTE  1968         .     1.498
DEUTE  1969         .     1.475
DEUTE  1970         .     1.454
HUN  1935     1.973     1.953
HUN  1936     1.985     1.966
HUN  1937     1.978     1.961
HUN  1938     1.949     1.933
HUN  1939     1.932     1.917
HUN  1940     1.923     1.910
HUN  1941     1.931     1.918
HUN  1942     1.898     1.886
HUN  1943     1.918     1.905
HUN  1944     1.918     1.905
HUN  1945     1.906     1.891
HUN  1946     1.914     1.900
HUN  1947     1.928     1.914
HUN  1948     1.946     1.931
HUN  1949     1.974     1.958
HUN  1950     1.955     1.939
HUN  1951     1.971     1.954
HUN  1952     1.956     1.939
HUN  1953     1.933     1.916
HUN  1954     1.938     1.920
HUN  1955     1.950     1.934
HUN  1956     1.974     1.957
HUN  1957     2.020     2.002
HUN  1958     2.015     1.997
HUN  1959     2.026     2.006
HUN  1960         .     2.003
HUN  1961         .     2.018
HUN  1962         .     2.019
HUN  1963         .     1.994
HUN  1964         .     1.978
HUN  1965         .     1.968
HUN  1966         .     1.950
HUN  1967         .     1.927
HUN  1968         .     1.894
HUN  1969         .     1.871
ISL  1948     2.764     2.717
ISL  1949     2.720     2.675
ISL  1950     2.696     2.645
ISL  1951     2.665     2.621
ISL  1952     2.603     2.553
ISL  1953     2.547     2.495
ISL  1954     2.568     2.509
ISL  1955     2.522     2.477
ISL  1956     2.508     2.459
ISL  1957     2.516     2.473
ISL  1958     2.509     2.465
ISL  1959     2.503     2.452
ISL  1960     2.523     2.458
ISL  1961         .     2.432
ISL  1962         .     2.347
ISL  1963         .     2.372
ISL  1964         .     2.326
ISL  1965         .     2.276
ISL  1966         .     2.259
ISL  1967         .     2.240
ISL  1968         .     2.189
ISL  1969         .     2.162
ISL  1970         .     2.214
JPN  1932     2.060     2.047
JPN  1933     2.035     2.024
JPN  1934     2.008     1.998
JPN  1935     2.045     2.035
JPN  1936     2.035     2.026
JPN  1937     2.051     2.042
JPN  1938     2.009     2.001
JPN  1939     1.985     1.976
JPN  1940     2.052     2.043
JPN  1941     2.071     2.062
JPN  1942     2.031     2.022
JPN  1943     2.053     2.044
JPN  1944     2.036     2.027
JPN  1945     1.851     1.842
JPN  1946     1.905     1.896
JPN  1947     2.021     2.010
JPN  1948     1.987     1.976
JPN  1949     1.992     1.980
JPN  1950     1.969     1.956
JPN  1951     1.962     1.949
JPN  1952     1.982     1.968
JPN  1953     1.987     1.973
JPN  1954     1.983     1.968
JPN  1955     1.977     1.961
JPN  1956     1.946     1.929
JPN  1957     1.918     1.900
JPN  1958     1.909     1.890
JPN  1959     1.870     1.850
JPN  1960         .     1.805
JPN  1961         .     1.762
JPN  1962         .     1.719
JPN  1963         .     1.672
JPN  1964         .     1.660
JPN  1965         .     1.595
JPN  1966         .     1.493
JPN  1967         .     1.506
JPN  1968         .     1.497
JPN  1969         .     1.444
LTU  1944     1.991     1.949
LTU  1945     1.978     1.939
LTU  1946     1.989     1.956
LTU  1947     1.995     1.966
LTU  1948     2.035     2.009
LTU  1949     2.058     2.033
LTU  1950     2.010     1.986
LTU  1951     1.999     1.978
LTU  1952     1.971     1.950
LTU  1953     1.930     1.910
LTU  1954     1.951     1.933
LTU  1955     1.950     1.932
LTU  1956     1.957     1.937
LTU  1957     1.965     1.944
LTU  1958     1.948     1.926
LTU  1959     1.956     1.935
LTU  1960     1.910     1.887
LTU  1961     1.824     1.802
LTU  1962         .     1.734
LTU  1963         .     1.714
LTU  1964         .     1.699
LTU  1965         .     1.708
LTU  1966         .     1.705
LTU  1967         .     1.705
LTU  1968         .     1.724
LTU  1969         .     1.735
LTU  1970         .     1.708
LTU  1971         .     1.693
NLD  1935     2.499     2.477
NLD  1936     2.432     2.412
NLD  1937     2.407     2.388
NLD  1938     2.317     2.298
NLD  1939     2.267     2.248
NLD  1940     2.214     2.193
NLD  1941     2.184     2.166
NLD  1942     2.124     2.105
NLD  1943     2.081     2.064
NLD  1944     2.047     2.030
NLD  1945     1.997     1.978
NLD  1946     1.947     1.930
NLD  1947     1.919     1.902
NLD  1948     1.917     1.898
NLD  1949     1.890     1.870
NLD  1950     1.900     1.877
NLD  1951     1.875     1.851
NLD  1952     1.875     1.851
NLD  1953     1.869     1.844
NLD  1954     1.876     1.849
NLD  1955     1.868     1.841
NLD  1956     1.874     1.845
NLD  1957     1.871     1.840
NLD  1958     1.867     1.834
NLD  1959     1.853     1.819
NLD  1960         .     1.827
NLD  1961         .     1.796
NLD  1962         .     1.793
NLD  1963         .     1.770
NLD  1964         .     1.753
NLD  1965         .     1.743
NLD  1966         .     1.735
NLD  1967         .     1.725
NLD  1968         .     1.723
NLD  1969         .     1.709
NOR  1952     2.062     2.032
NOR  1953     2.041     2.010
NOR  1954     2.048     2.012
NOR  1955     2.051     2.019
NOR  1956     2.054     2.019
NOR  1957     2.062     2.025
NOR  1958     2.070     2.032
NOR  1959     2.080     2.043
NOR  1960         .     2.052
NOR  1961         .     2.049
NOR  1962         .     2.051
NOR  1963         .     2.039
NOR  1964         .     2.034
NOR  1965         .     2.025
NOR  1966         .     2.024
NOR  1967         .     2.016
NOR  1968         .     2.023
NOR  1969         .     2.008
PRT  1925     2.980     2.774
PRT  1926     2.985     2.785
PRT  1927     2.963     2.769
PRT  1928     2.966     2.778
PRT  1929     2.964     2.786
PRT  1930     2.925     2.763
PRT  1931     2.955     2.796
PRT  1932     2.949     2.795
PRT  1933     2.923     2.781
PRT  1934     2.910     2.780
PRT  1935     2.876     2.762
PRT  1936     2.864     2.761
PRT  1937     2.847     2.757
PRT  1938     2.856     2.775
PRT  1939     2.801     2.725
PRT  1940     2.663     2.598
PRT  1941     2.606     2.548
PRT  1942     2.548     2.497
PRT  1943     2.527     2.480
PRT  1944     2.495     2.452
PRT  1945     2.405     2.366
PRT  1946     2.350     2.313
PRT  1947     2.256     2.226
PRT  1948     2.204     2.173
PRT  1949     2.129     2.100
PRT  1950     2.093     2.063
PRT  1951     2.070     2.042
PRT  1952     2.055     2.027
PRT  1953     2.035     2.007
PRT  1954     2.027     1.999
PRT  1955     2.039     2.011
PRT  1956     2.033     2.003
PRT  1957     1.989     1.959
PRT  1958     1.989     1.958
PRT  1959     1.947     1.913
PRT  1960     1.909     1.873
PRT  1961     1.884     1.846
PRT  1962     1.897     1.858
PRT  1963         .     1.811
PRT  1964         .     1.800
PRT  1965         .     1.796
PRT  1966         .     1.778
PRT  1967         .     1.761
PRT  1968         .     1.711
PRT  1969         .     1.676
PRT  1970         .     1.643
PRT  1971         .     1.614
PRT  1972         .     1.603
RUS  1944     1.815     1.791
RUS  1945     1.781     1.757
RUS  1946     1.836     1.811
RUS  1947     1.766     1.743
RUS  1948     1.784     1.764
RUS  1949     1.890     1.870
RUS  1950     1.854     1.837
RUS  1951     1.889     1.874
RUS  1952     1.876     1.863
RUS  1953     1.862     1.850
RUS  1954     1.887     1.876
RUS  1955     1.854     1.842
RUS  1956     1.845     1.834
RUS  1957     1.874     1.862
RUS  1958     1.862     1.850
RUS  1959     1.860     1.847
RUS  1960     1.849     1.836
RUS  1961         .     1.786
RUS  1962         .     1.737
RUS  1963         .     1.707
RUS  1964         .     1.680
RUS  1965         .     1.659
RUS  1966         .     1.636
RUS  1967         .     1.611
RUS  1968         .     1.600
RUS  1969         .     1.587
RUS  1970         .     1.572
SVK  1935     2.708     2.679
SVK  1936     2.668     2.641
SVK  1937     2.669     2.644
SVK  1938     2.638     2.616
SVK  1939     2.608     2.588
SVK  1940     2.541     2.522
SVK  1941     2.485     2.469
SVK  1942     2.452     2.436
SVK  1943     2.457     2.442
SVK  1944     2.422     2.407
SVK  1945     2.357     2.343
SVK  1946     2.376     2.363
SVK  1947     2.378     2.365
SVK  1948     2.356     2.341
SVK  1949     2.328     2.313
SVK  1950     2.303     2.288
SVK  1951     2.280     2.265
SVK  1952     2.275     2.260
SVK  1953     2.241     2.227
SVK  1954     2.232     2.218
SVK  1955     2.226     2.213
SVK  1956     2.214     2.199
SVK  1957     2.207     2.192
SVK  1958     2.193     2.178
SVK  1959     2.184     2.168
SVK  1960         .     2.157
SVK  1961         .     2.152
SVK  1962         .     2.129
SVK  1963         .     2.096
SVK  1964         .     2.062
SVK  1965         .     2.023
SVK  1966         .     2.012
SVK  1967         .     1.994
SVK  1968         .     1.969
SVK  1969         .     1.930
SVN  1968         .     1.710
SVN  1969         .     1.698
SWE  1876     3.438     3.120
SWE  1877     3.380     3.073
SWE  1878     3.306     3.013
SWE  1879     3.251     2.963
SWE  1880     3.171     2.895
SWE  1881     3.130     2.871
SWE  1882     3.063     2.821
SWE  1883     2.965     2.740
SWE  1884     2.916     2.703
SWE  1885     2.864     2.664
SWE  1886     2.778     2.593
SWE  1887     2.705     2.534
SWE  1888     2.654     2.489
SWE  1889     2.560     2.406
SWE  1890     2.498     2.353
SWE  1891     2.438     2.301
SWE  1892     2.351     2.222
SWE  1893     2.286     2.162
SWE  1894     2.233     2.111
SWE  1895     2.156     2.039
SWE  1896     2.090     1.975
SWE  1897     2.049     1.936
SWE  1898     1.988     1.877
SWE  1899     1.928     1.814
SWE  1900     1.881     1.763
SWE  1901     1.850     1.727
SWE  1902     1.815     1.689
SWE  1903     1.800     1.672
SWE  1904     1.798     1.670
SWE  1905     1.791     1.666
SWE  1906     1.807     1.689
SWE  1907     1.826     1.717
SWE  1908     1.824     1.724
SWE  1909     1.845     1.751
SWE  1910     1.859     1.770
SWE  1911     1.873     1.789
SWE  1912     1.913     1.832
SWE  1913     1.939     1.861
SWE  1914     1.964     1.890
SWE  1915     1.976     1.903
SWE  1916     1.985     1.916
SWE  1917     2.001     1.936
SWE  1918     2.021     1.957
SWE  1919     2.036     1.977
SWE  1920     2.029     1.972
SWE  1921     2.026     1.971
SWE  1922     2.039     1.984
SWE  1923     2.043     1.990
SWE  1924     2.044     1.995
SWE  1925     2.053     2.008
SWE  1926     2.078     2.037
SWE  1927     2.098     2.061
SWE  1928     2.115     2.081
SWE  1929     2.119     2.088
SWE  1930     2.127     2.100
SWE  1931     2.160     2.135
SWE  1932     2.164     2.141
SWE  1933     2.153     2.131
SWE  1934     2.169     2.150
SWE  1935     2.148     2.129
SWE  1936     2.117     2.097
SWE  1937     2.105     2.085
SWE  1938     2.082     2.060
SWE  1939     2.059     2.035
SWE  1940     2.049     2.026
SWE  1941     2.028     2.005
SWE  1942     1.997     1.972
SWE  1943     1.985     1.958
SWE  1944     1.988     1.959
SWE  1945     1.970     1.943
SWE  1946     1.987     1.957
SWE  1947     1.998     1.965
SWE  1948     1.992     1.957
SWE  1949     2.002     1.966
SWE  1950     2.008     1.969
SWE  1951     2.001     1.962
SWE  1952     2.010     1.970
SWE  1953     2.025     1.986
SWE  1954     2.024     1.986
SWE  1955     2.035     1.997
SWE  1956     2.042     2.003
SWE  1957     2.052     2.013
SWE  1958     2.057     2.016
SWE  1959     2.048     2.005
SWE  1960     2.058     2.011
SWE  1961     2.030     1.981
SWE  1962         .     1.982
SWE  1963         .     1.971
SWE  1964         .     1.957
SWE  1965         .     1.952
SWE  1966         .     1.938
SWE  1967         .     1.929
SWE  1968         .     1.926
SWE  1969         .     1.921
SWE  1970         .     1.924
SWE  1971         .     1.901
CHE  1917     2.209     2.113
CHE  1918     2.229     2.138
CHE  1919     2.215     2.123
CHE  1920     2.216     2.129
CHE  1921     2.221     2.134
CHE  1922     2.205     2.123
CHE  1923     2.229     2.149
CHE  1924     2.215     2.139
CHE  1925     2.192     2.123
CHE  1926     2.223     2.155
CHE  1927     2.189     2.128
CHE  1928     2.192     2.139
CHE  1929     2.194     2.144
CHE  1930     2.175     2.130
CHE  1931     2.180     2.140
CHE  1932     2.188     2.154
CHE  1933     2.197     2.167
CHE  1934     2.199     2.172
CHE  1935     2.173     2.150
CHE  1936     2.186     2.164
CHE  1937     2.167     2.148
CHE  1938     2.156     2.137
CHE  1939     2.123     2.105
CHE  1940     2.080     2.062
CHE  1941     2.033     2.017
CHE  1942     1.969     1.952
CHE  1943     1.923     1.905
CHE  1944     1.885     1.868
CHE  1945     1.855     1.838
CHE  1946     1.852     1.834
CHE  1947     1.823     1.804
CHE  1948     1.813     1.793
CHE  1949     1.808     1.788
CHE  1950     1.796     1.773
CHE  1951     1.770     1.745
CHE  1952     1.757     1.732
CHE  1953     1.758     1.734
CHE  1954     1.754     1.728
CHE  1955     1.751     1.724
CHE  1956     1.756     1.726
CHE  1957     1.742     1.712
CHE  1958     1.751     1.720
CHE  1959     1.774     1.741
CHE  1960     1.780     1.744
CHE  1961     1.766     1.729
CHE  1962         .     1.706
CHE  1963         .     1.680
CHE  1964         .     1.649
CHE  1965         .     1.622
CHE  1966         .     1.615
CHE  1967         .     1.602
CHE  1968         .     1.592
CHE  1969         .     1.593
CHE  1970         .     1.579
CHE  1971         .     1.566
TWN  1961         .     2.140
TWN  1962         .     2.112
TWN  1963         .     2.056
TWN  1964         .     1.995
TWN  1965         .     1.931
TWN  1966         .     1.882
TWN  1967         .     1.854
TWN  1968         .     1.792
TWN  1969         .     1.731
TWN  1970         .     1.688
GBR_NP  1959     1.983     1.940
GBR_NP  1960     1.980     1.935
GBR_NP  1961     1.952     1.905
GBR_NP  1962         .     1.884
GBR_NP  1963         .     1.876
GBR_NP  1964         .     1.869
GBR_NP  1965         .     1.857
GBR_NP  1966         .     1.843
GBR_NP  1967         .     1.842
GBR_NP  1968         .     1.845
GBR_NP  1969         .     1.836
GBR_NP  1970         .     1.832
GBR_NP  1971         .     1.823
GBRTENW  1923     2.095     2.029
GBRTENW  1924     2.119     2.055
GBRTENW  1925     2.156     2.097
GBRTENW  1926     2.197     2.142
GBRTENW  1927     2.215     2.164
GBRTENW  1928     2.243     2.197
GBRTENW  1929     2.299     2.256
GBRTENW  1930     2.354     2.314
GBRTENW  1931     2.353     2.318
GBRTENW  1932     2.360     2.329
GBRTENW  1933     2.389     2.361
GBRTENW  1934     2.409     2.383
GBRTENW  1935     2.411     2.387
GBRTENW  1936     2.397     2.374
GBRTENW  1937     2.378     2.356
GBRTENW  1938     2.367     2.344
GBRTENW  1939     2.372     2.348
GBRTENW  1940     2.343     2.319
GBRTENW  1941     2.280     2.257
GBRTENW  1942     2.250     2.227
GBRTENW  1943     2.245     2.223
GBRTENW  1944     2.215     2.193
GBRTENW  1945     2.144     2.121
GBRTENW  1946     2.127     2.103
GBRTENW  1947     2.135     2.111
GBRTENW  1948     2.093     2.067
GBRTENW  1949     2.060     2.032
GBRTENW  1950     2.049     2.019
GBRTENW  1951     2.037     2.006
GBRTENW  1952     2.046     2.014
GBRTENW  1953     2.042     2.008
GBRTENW  1954     2.020     1.984
GBRTENW  1955     2.008     1.971
GBRTENW  1956     2.016     1.978
GBRTENW  1957     2.008     1.968
GBRTENW  1958     1.981     1.939
GBRTENW  1959     1.978     1.935
GBRTENW  1960     1.976     1.930
GBRTENW  1961     1.947     1.899
GBRTENW  1962         .     1.878
GBRTENW  1963         .     1.872
GBRTENW  1964         .     1.867
GBRTENW  1965         .     1.857
GBRTENW  1966         .     1.845
GBRTENW  1967         .     1.845
GBRTENW  1968         .     1.848
GBRTENW  1969         .     1.842
GBRTENW  1970         .     1.839
GBRTENW  1971         .     1.830
GBR_SCO  1930     2.544     2.501
GBR_SCO  1931     2.543     2.507
GBR_SCO  1932     2.548     2.517
GBR_SCO  1933     2.587     2.558
GBR_SCO  1934     2.604     2.580
GBR_SCO  1935     2.579     2.557
GBR_SCO  1936     2.558     2.537
GBR_SCO  1937     2.539     2.519
GBR_SCO  1938     2.527     2.508
GBR_SCO  1939     2.512     2.493
