Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR
CZE  1964     2.419
CZE  1965     2.087
CZE  1966     1.899
CZE  1967     1.890
CZE  1968     1.860
CZE  1969     1.897
CZE  1970     2.077
CZE  1971     2.072
CZE  1972     2.032
CZE  1973     2.250
CZE  1974     2.310
CZE  1975     2.266
CZE  1976     2.243
CZE  1977     2.199
CZE  1978     2.207
CZE  1979     2.138
CZE  1980     2.054
CZE  1981     2.006
CZE  1982     1.973
CZE  1983     1.978
CZE  1984     2.034
CZE  1985     2.098
CZE  1986     2.076
CZE  1987     2.012
CZE  1988     2.052
CZE  1989     1.952
CZE  1990     1.926
CZE  1991     1.926
CZE  1992     1.867
CZE  1993     2.036
CZE  1994     2.078
CZE  1995     1.968
CZE  1996     1.782
CZE  1997     1.708
CZE  1998     1.629
CZE  1999     1.644
CZE  2000     1.777
CZE  2001     1.699
CZE  2002     1.632
CZE  2003     1.697
CZE  2004     1.773
CZE  2005     1.801
CZE  2006     1.752
CZE  2007     1.833
CZE  2008     1.811
CZE  2009     1.718
CZE  2010     1.779
EST  1960     1.788
EST  1961     1.765
EST  1962     1.858
EST  1963     1.846
EST  1964     1.822
EST  1965     1.836
EST  1966     1.798
EST  1967     1.678
EST  1968     1.810
EST  1969     1.899
EST  1970     1.932
EST  1971     2.044
EST  1972     2.078
EST  1973     1.925
EST  1974     1.832
EST  1975     1.854
EST  1976     1.895
EST  1977     1.849
EST  1978     1.801
EST  1979     1.795
EST  1980     1.926
EST  1981     2.195
EST  1982     2.182
EST  1983     2.150
EST  1984     2.049
EST  1985     2.099
EST  1986     2.215
EST  1987     2.208
EST  1988     1.980
EST  1989     1.917
EST  1990     1.878
EST  1991     1.760
EST  1992     1.727
EST  1993     1.498
EST  1994     1.589
EST  1995     1.726
EST  1996     1.888
EST  1997     1.721
EST  1998     1.497
EST  1999     1.706
EST  2000     1.852
EST  2001     1.809
EST  2002     1.914
EST  2003     1.693
EST  2004     1.913
EST  2005     1.982
EST  2006     1.869
EST  2007     2.084
EST  2008     2.251
EST  2009     2.041
EST  2010     1.985
EST  2011     1.888
FIN  1983     1.976
FIN  1984     1.930
FIN  1985     1.875
FIN  1986     1.850
FIN  1987     1.782
FIN  1988     1.764
FIN  1989     1.806
FIN  1990     1.884
FIN  1991     1.853
FIN  1992     1.956
FIN  1993     1.945
FIN  1994     2.104
FIN  1995     2.093
FIN  1996     1.953
FIN  1997     1.940
FIN  1998     1.813
FIN  1999     1.790
FIN  2000     1.799
FIN  2001     1.851
FIN  2002     1.928
FIN  2003     1.929
FIN  2004     1.880
FIN  2005     1.916
FIN  2006     1.944
FIN  2007     1.934
FIN  2008     1.939
DEUTE  1957     2.049
DEUTE  1958     1.991
DEUTE  1959     2.109
DEUTE  1960     2.152
DEUTE  1961     2.235
DEUTE  1962     2.323
DEUTE  1963     2.425
DEUTE  1964     2.381
DEUTE  1965     2.356
DEUTE  1966     2.333
DEUTE  1967     2.274
DEUTE  1968     2.274
DEUTE  1969     2.310
DEUTE  1970     2.270
DEUTE  1971     2.268
DEUTE  1972     1.887
DEUTE  1973     1.614
DEUTE  1974     1.566
DEUTE  1975     1.555
DEUTE  1976     1.666
DEUTE  1977     1.827
DEUTE  1978     1.808
DEUTE  1979     1.772
DEUTE  1980     1.840
DEUTE  1981     1.852
DEUTE  1982     1.879
DEUTE  1983     1.803
DEUTE  1984     1.743
DEUTE  1985     1.812
DEUTE  1986     1.899
DEUTE  1987     1.927
DEUTE  1988     1.806
HUN  1953     2.833
HUN  1954     2.707
HUN  1955     2.435
HUN  1956     2.153
HUN  1957     2.008
HUN  1958     2.024
HUN  1959     1.910
HUN  1960     1.920
HUN  1961     1.954
HUN  1962     1.936
HUN  1963     2.005
HUN  1964     1.859
HUN  1965     1.832
HUN  1966     1.933
HUN  1967     2.028
HUN  1968     2.070
HUN  1969     2.003
HUN  1970     1.874
HUN  1971     1.830
HUN  1972     1.880
HUN  1973     1.898
HUN  1974     2.201
HUN  1975     2.191
HUN  1976     2.076
HUN  1977     2.026
HUN  1978     1.920
HUN  1979     1.926
HUN  1980     1.958
HUN  1981     1.988
HUN  1982     1.936
HUN  1983     1.898
HUN  1984     1.909
HUN  1985     2.104
HUN  1986     2.114
HUN  1987     2.003
HUN  1988     1.949
HUN  1989     1.905
HUN  1990     1.989
HUN  1991     2.029
HUN  1992     1.928
HUN  1993     1.901
HUN  1994     1.886
HUN  1995     1.891
HUN  1996     1.752
HUN  1997     1.695
HUN  1998     1.748
HUN  1999     1.704
HUN  2000     1.763
HUN  2001     1.756
HUN  2002     1.716
HUN  2003     1.758
HUN  2004     1.803
HUN  2005     1.707
HUN  2006     1.701
HUN  2007     1.552
HUN  2008     1.574
ISL  1991     2.920
ISL  1992     2.444
ISL  1993     2.433
ISL  1994     2.484
ISL  1995     2.426
ISL  1996     2.266
ISL  1997     2.182
ISL  1998     2.198
ISL  1999     2.360
ISL  2000     2.713
ISL  2001     2.461
ISL  2002     2.296
ISL  2003     2.289
ISL  2004     2.136
ISL  2005     2.175
ISL  2006     2.308
ISL  2007     2.312
ISL  2008     2.502
ISL  2009     2.415
JPN  1969     2.045
JPN  1970     2.033
JPN  1971     2.027
JPN  1972     2.012
JPN  1973     2.031
JPN  1974     2.000
JPN  1975     1.930
JPN  1976     1.936
JPN  1977     1.915
JPN  1978     1.890
JPN  1979     1.876
JPN  1980     1.885
JPN  1981     1.884
JPN  1982     1.906
JPN  1983     1.937
JPN  1984     1.970
JPN  1985     1.970
JPN  1986     1.950
JPN  1987     1.934
JPN  1988     1.914
JPN  1989     1.815
JPN  1990     1.745
JPN  1991     1.731
JPN  1992     1.720
JPN  1993     1.671
JPN  1994     1.693
JPN  1995     1.606
JPN  1996     1.597
JPN  1997     1.519
JPN  1998     1.492
JPN  1999     1.418
JPN  2000     1.400
JPN  2001     1.398
JPN  2002     1.457
JPN  2003     1.451
JPN  2004     1.420
JPN  2005     1.369
JPN  2006     1.476
JPN  2007     1.474
JPN  2008     1.512
LTU  1971     2.253
LTU  1972     2.234
LTU  1973     2.058
LTU  1974     2.019
LTU  1975     2.048
LTU  1976     1.981
LTU  1977     1.989
LTU  1978     1.977
LTU  1979     1.825
LTU  1980     2.294
LTU  1981     2.405
LTU  1982     1.920
LTU  1983     2.076
LTU  1984     1.902
LTU  1985     2.031
LTU  1986     2.177
LTU  1987     1.630
LTU  1988     1.451
LTU  1989     1.742
LTU  1990     1.851
LTU  1991     1.811
LTU  1992     1.977
LTU  1993     1.680
LTU  1994     1.561
LTU  1995     1.768
LTU  1996     1.740
LTU  1997     1.795
LTU  1998     1.748
LTU  1999     1.693
LTU  2000     1.682
LTU  2001     1.534
LTU  2002     1.456
LTU  2003     1.707
LTU  2004     1.692
LTU  2005     1.630
LTU  2006     1.805
LTU  2007     1.836
LTU  2008     2.056
LTU  2009     2.185
LTU  2010     1.773
NLD  1951     2.885
NLD  1952     3.017
NLD  1953     2.929
NLD  1954     2.907
NLD  1955     2.889
NLD  1956     2.872
NLD  1957     2.896
NLD  1958     2.943
NLD  1959     2.953
NLD  1960     2.852
NLD  1961     2.924
NLD  1962     2.881
NLD  1963     2.982
NLD  1964     3.065
NLD  1965     2.994
NLD  1966     2.836
NLD  1967     2.666
NLD  1968     2.492
NLD  1969     2.605
NLD  1970     2.503
NLD  1971     2.293
NLD  1972     2.184
NLD  1973     1.960
NLD  1974     1.866
NLD  1975     1.772
NLD  1976     1.740
NLD  1977     1.713
NLD  1978     1.724
NLD  1979     1.701
NLD  1980     1.735
NLD  1981     1.742
NLD  1982     1.731
NLD  1983     1.726
NLD  1984     1.818
NLD  1985     1.911
NLD  1986     1.973
NLD  1987     1.937
NLD  1988     1.867
NLD  1989     1.884
NLD  1990     1.965
NLD  1991     1.962
NLD  1992     1.943
NLD  1993     1.825
NLD  1994     1.799
NLD  1995     1.820
NLD  1996     1.715
NLD  1997     1.709
NLD  1998     1.750
NLD  1999     1.706
NLD  2000     1.775
NLD  2001     1.767
NLD  2002     1.817
NLD  2003     1.882
NLD  2004     1.830
NLD  2005     1.771
