Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 25/09/2014
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
USA  1950     2.737     0.851     0.870     0.466     0.227     0.322
USA  1951     2.988     0.946     0.889     0.563     0.262     0.328
USA  1952     3.066     0.939     0.862     0.614     0.309     0.342
USA  1953     3.038     0.892     0.850     0.594     0.334     0.368
USA  1954     3.150     0.935     0.848     0.610     0.352     0.405
USA  1955     3.125     0.905     0.816     0.610     0.356     0.437
USA  1956     3.259     0.930     0.843     0.625     0.382     0.479
USA  1957     3.390     0.987     0.854     0.645     0.399     0.505
USA  1958     3.353     0.948     0.839     0.634     0.398     0.534
USA  1959     3.423     0.924     0.864     0.642     0.417     0.577
USA  1960     3.496     0.906     0.883     0.677     0.429     0.602
USA  1961     3.490     0.888     0.846     0.682     0.441     0.633
USA  1962     3.483     0.865     0.825     0.673     0.457     0.662
USA  1963     3.644     0.927     0.841     0.694     0.476     0.705
USA  1964     3.640     0.926     0.828     0.687     0.470     0.729
USA  1965     3.298     0.819     0.755     0.614     0.426     0.685
USA  1966     2.958     0.821     0.688     0.518     0.360     0.571
USA  1967     2.822     0.860     0.706     0.465     0.303     0.487
USA  1968     2.662     0.871     0.711     0.428     0.258     0.393
USA  1969     2.507     0.803     0.692     0.422     0.247     0.342
USA  1970     2.535     0.858     0.691     0.412     0.237     0.336
USA  1971     2.460     0.800     0.709     0.400     0.223     0.329
USA  1972     2.230     0.756     0.674     0.349     0.188     0.264
USA  1973     2.065     0.811     0.613     0.295     0.152     0.194
USA  1974     2.026     0.835     0.618     0.283     0.131     0.160
USA  1975     1.995     0.826     0.629     0.286     0.120     0.135
USA  1976     1.957     0.823     0.620     0.285     0.116     0.114
USA  1977     1.967     0.828     0.638     0.288     0.111     0.102
USA  1978     1.930     0.814     0.632     0.285     0.106     0.091
USA  1979     1.938     0.813     0.635     0.295     0.110     0.086
USA  1980     1.997     0.866     0.643     0.299     0.109     0.081
USA  1981     2.006     0.874     0.644     0.300     0.110     0.077
USA  1982     1.995     0.856     0.662     0.295     0.109     0.074
USA  1983     1.988     0.853     0.674     0.290     0.101     0.070
USA  1984     1.960     0.835     0.666     0.290     0.103     0.067
USA  1985     1.969     0.841     0.663     0.296     0.104     0.065
USA  1986     1.994     0.868     0.660     0.300     0.102     0.064
USA  1987     1.989     0.864     0.654     0.304     0.104     0.063
USA  1988     1.952     0.832     0.645     0.306     0.106     0.063
USA  1989     2.000     0.847     0.656     0.315     0.113     0.068
USA  1990     2.038     0.852     0.665     0.324     0.122     0.074
USA  1991     2.067     0.871     0.663     0.328     0.126     0.080
USA  1992     2.183     0.892     0.712     0.357     0.136     0.086
USA  1993     2.225     0.874     0.737     0.380     0.144     0.090
USA  1994     2.254     0.921     0.729     0.368     0.142     0.095
USA  1995     2.220     0.985     0.692     0.330     0.127     0.085
USA  1996     2.183     0.990     0.676     0.318     0.121     0.079
USA  1997     2.145     0.941     0.680     0.321     0.121     0.080
USA  1998     2.190     0.928     0.717     0.336     0.127     0.082
USA  1999     2.262     0.956     0.737     0.354     0.133     0.082
USA  2000     2.334     0.973     0.756     0.378     0.141     0.087
USA  2001     2.328     0.953     0.769     0.378     0.141     0.087
USA  2002     2.387     0.994     0.778     0.384     0.145     0.087
USA  2003     2.309     0.938     0.747     0.388     0.147     0.089
USA  2004     2.148     0.823     0.709     0.376     0.149     0.091
USA  2005     2.065     0.783     0.677     0.363     0.149     0.093
USA  2006     2.119     0.818     0.680     0.372     0.152     0.097
USA  2007     2.242     0.884     0.710     0.388     0.159     0.101
USA  2008     2.294     0.920     0.721     0.388     0.161     0.104
USA  2009     2.349     0.958     0.743     0.381     0.160     0.108
UKR  1960     2.008     0.918     0.626     0.261     0.104     0.099
UKR  1961     2.139     0.857     0.829     0.262     0.095     0.096
UKR  1962     2.180     0.965     0.747     0.274     0.099     0.094
UKR  1963     2.062     0.993     0.645     0.251     0.094     0.080
UKR  1964     2.114     1.050     0.673     0.235     0.083     0.073
UKR  1965     1.916     0.901     0.642     0.226     0.079     0.068
UKR  1966     1.957     0.918     0.654     0.229     0.083     0.072
UKR  1967     1.892     0.902     0.642     0.212     0.070     0.065
UKR  1968     1.918     0.919     0.657     0.209     0.069     0.065
UKR  1969     1.880     0.878     0.697     0.187     0.064     0.055
UKR  1970     1.977     0.904     0.750     0.200     0.065     0.057
UKR  1971     2.053     0.982     0.721     0.225     0.064     0.060
UKR  1972     2.129     1.117     0.685     0.213     0.060     0.054
UKR  1973     1.906     1.002     0.612     0.181     0.059     0.051
UKR  1974     1.805     0.913     0.608     0.169     0.061     0.055
UKR  1975     1.829     0.920     0.628     0.176     0.054     0.051
UKR  1976     1.855     0.946     0.638     0.173     0.050     0.048
UKR  1977     1.807     0.910     0.637     0.159     0.052     0.048
UKR  1978     1.781     0.917     0.629     0.143     0.046     0.046
UKR  1979     1.816     0.957     0.637     0.141     0.041     0.040
UKR  1980     1.860     0.979     0.652     0.147     0.041     0.043
UKR  1981     1.779     0.903     0.644     0.147     0.042     0.042
UKR  1982     1.811     0.923     0.660     0.145     0.046     0.037
UKR  1983     1.992     0.947     0.782     0.181     0.044     0.038
UKR  1984     1.941     0.968     0.715     0.177     0.042     0.039
UKR  1985     2.001     0.987     0.738     0.185     0.049     0.041
UKR  1986     2.096     0.980     0.804     0.209     0.057     0.046
UKR  1987     1.990     0.973     0.754     0.175     0.047     0.042
UKR  1988     1.943     0.981     0.713     0.163     0.044     0.042
UKR  1989     1.742     0.904     0.619     0.140     0.040     0.039
UKR  1990     1.672     0.917     0.560     0.127     0.034     0.034
UKR  1991     1.651     0.930     0.525     0.128     0.037     0.031
UKR  1992     1.605     0.908     0.508     0.120     0.036     0.033
UKR  1993     1.566     0.881     0.504     0.114     0.034     0.033
UKR  1994     1.473     0.854     0.460     0.103     0.031     0.026
UKR  1995     1.420     0.839     0.434     0.096     0.028     0.024
UKR  1996     1.469     0.878     0.437     0.098     0.029     0.025
UKR  1997     1.465     0.874     0.434     0.100     0.030     0.026
UKR  1998     1.428     0.861     0.417     0.095     0.029     0.026
UKR  1999     1.367     0.808     0.415     0.092     0.026     0.026
UKR  2000     1.396     0.811     0.441     0.096     0.025     0.024
UKR  2001     1.345     0.766     0.446     0.086     0.026     0.021
UKR  2002     1.371     0.762     0.474     0.090     0.025     0.020
UKR  2003     1.465     0.819     0.501     0.099     0.025     0.022
UKR  2004     1.492     0.862     0.488     0.093     0.027     0.022
UKR  2005     1.403     0.815     0.449     0.091     0.026     0.022
UKR  2006     1.469     0.822     0.489     0.104     0.029     0.025
UKR  2007     1.492     0.824     0.511     0.104     0.029     0.023
UKR  2008     1.619     0.890     0.549     0.123     0.031     0.025
