Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 25/09/2014
Code Year    ARDY   Cohort       Exposure
AUT  1964     54     1910        56088.82
AUT  1964     55     1909        55637.21
AUT  1965     12     1953        24508.97
AUT  1965     13     1952        47527.29
AUT  1965     14     1951        46889.47
AUT  1965     15     1950        48275.67
AUT  1965     16     1949        49255.62
AUT  1965     17     1948        52366.12
AUT  1965     18     1947        53814.69
AUT  1965     19     1946        45893.23
AUT  1965     20     1945        39024.51
AUT  1965     21     1944        51423.21
AUT  1965     22     1943        51463.33
AUT  1965     23     1942        51149.87
AUT  1965     24     1941        59761.02
AUT  1965     25     1940        64314.17
AUT  1965     26     1939        61556.88
AUT  1965     27     1938        42444.01
AUT  1965     28     1937        38286.03
AUT  1965     29     1936        38419.24
AUT  1965     30     1935        38378.73
AUT  1965     31     1934        39217.21
AUT  1965     32     1933        40399.88
AUT  1965     33     1932        42535.29
AUT  1965     34     1931        43422.36
AUT  1965     35     1930        45606.68
AUT  1965     36     1929        44954.49
AUT  1965     37     1928        46178.47
AUT  1965     38     1927        46482.04
AUT  1965     39     1926        49745.49
AUT  1965     40     1925        53744.63
AUT  1965     41     1924        55472.71
AUT  1965     42     1923        57312.24
AUT  1965     43     1922        57876.27
AUT  1965     44     1921        57724.21
AUT  1965     45     1920        55826.53
AUT  1965     46     1919        44365.14
AUT  1965     47     1918        30834.42
AUT  1965     48     1917        29434.04
AUT  1965     49     1916        31750.33
AUT  1965     50     1915        39633.05
AUT  1965     51     1914        52544.17
AUT  1965     52     1913        53271.42
AUT  1965     53     1912        55475.16
AUT  1965     54     1911        53225.54
AUT  1965     55     1910        55719.66
AUT  1966     12     1954        24992.32
AUT  1966     13     1953        47980.32
AUT  1966     14     1952        47835.14
AUT  1966     15     1951        47190.26
AUT  1966     16     1950        48543.63
AUT  1966     17     1949        49455.15
AUT  1966     18     1948        52532.58
AUT  1966     19     1947        53970.22
AUT  1966     20     1946        45939.85
AUT  1966     21     1945        39001.37
AUT  1966     22     1944        51339.24
AUT  1966     23     1943        51310.94
AUT  1966     24     1942        51034.94
AUT  1966     25     1941        59638.91
AUT  1966     26     1940        64177.48
AUT  1966     27     1939        61478.56
AUT  1966     28     1938        42488.36
AUT  1966     29     1937        38374.36
AUT  1966     30     1936        38474.88
AUT  1966     31     1935        38462.91
AUT  1966     32     1934        39293.15
AUT  1966     33     1933        40460.26
AUT  1966     34     1932        42621.24
AUT  1966     35     1931        43490.33
AUT  1966     36     1930        45634.72
AUT  1966     37     1929        44972.46
AUT  1966     38     1928        46197.45
AUT  1966     39     1927        46498.02
AUT  1966     40     1926        49767.62
AUT  1966     41     1925        53732.00
AUT  1966     42     1924        55444.04
AUT  1966     43     1923        57223.24
AUT  1966     44     1922        57798.52
AUT  1966     45     1921        57654.81
AUT  1966     46     1920        55698.93
AUT  1966     47     1919        44244.52
AUT  1966     48     1918        30762.90
AUT  1966     49     1917        29370.48
