Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 25/09/2014
Code Cohort   sdCMAB   sdCMAB40
CAN  1931       5.20       4.99
CAN  1932       5.09       4.91
CAN  1933       5.00       4.83
CAN  1934       4.95       4.79
CAN  1935       4.90       4.74
CAN  1936       4.85       4.70
CAN  1937       4.82       4.67
CAN  1938       4.80       4.66
CAN  1939       4.83       4.68
CAN  1940       4.87       4.71
CAN  1941       4.90       4.74
CAN  1942       4.94       4.78
CAN  1943       5.01       4.85
CAN  1944       5.08       4.91
CAN  1945       5.13       4.95
CAN  1946       5.16       4.98
CAN  1947       5.21       5.02
CAN  1948       5.26       5.06
CAN  1949       5.31       5.09
CAN  1950       5.36       5.14
CAN  1951       5.41       5.18
CAN  1952       5.45       5.21
CAN  1953       5.48       5.23
CAN  1954       5.50       5.25
CAN  1955       5.54       5.28
CAN  1956       5.55       5.29
CAN  1957       5.57       5.31
CAN  1958       5.58       5.31
CAN  1959       5.57       5.29
CAN  1960          .       5.28
CAN  1961          .       5.26
CAN  1962          .       5.26
CAN  1963          .       5.25
CAN  1964          .       5.25
CAN  1965          .       5.26
CAN  1966          .       5.31
CAN  1967          .       5.38
CAN  1968          .       5.44
CAN  1969          .       5.50
CZE  1935       4.73       4.55
CZE  1936       4.72       4.55
CZE  1937       4.74       4.58
CZE  1938       4.78       4.63
CZE  1939       4.83       4.68
CZE  1940       4.85       4.71
CZE  1941       4.85       4.73
CZE  1942       4.85       4.74
CZE  1943       4.84       4.73
CZE  1944       4.79       4.68
CZE  1945       4.72       4.62
CZE  1946       4.64       4.53
CZE  1947       4.54       4.43
CZE  1948       4.47       4.35
CZE  1949       4.44       4.32
CZE  1950       4.43       4.30
CZE  1951       4.44       4.30
CZE  1952       4.42       4.29
CZE  1953       4.45       4.31
CZE  1954       4.50       4.35
CZE  1955       4.52       4.38
CZE  1956       4.54       4.40
CZE  1957       4.58       4.42
CZE  1958       4.64       4.46
CZE  1959       4.66       4.46
CZE  1960       4.73       4.49
CZE  1961       4.76       4.51
CZE  1962          .       4.54
CZE  1963          .       4.57
CZE  1964          .       4.65
CZE  1965          .       4.72
CZE  1966          .       4.82
CZE  1967          .       4.98
CZE  1968          .       5.17
CZE  1969          .       5.30
CZE  1970          .       5.47
CZE  1971          .       5.60
EST  1944       5.08       4.80
EST  1945       5.13       4.81
EST  1946       5.16       4.86
EST  1947       5.10       4.81
EST  1948       5.15       4.87
EST  1949       5.19       4.95
EST  1950       5.19       4.97
EST  1951       5.18       4.98
EST  1952       5.16       4.99
EST  1953       5.10       4.92
EST  1954       5.10       4.88
EST  1955       5.02       4.79
EST  1956       4.91       4.69
EST  1957       4.89       4.61
EST  1958       4.86       4.58
EST  1959       4.83       4.54
EST  1960       4.85       4.52
EST  1961       4.91       4.58
EST  1962       5.04       4.64
EST  1963          .       4.74
EST  1964          .       4.88
EST  1965          .       5.08
EST  1966          .       5.30
EST  1967          .       5.42
EST  1968          .       5.58
EST  1969          .       5.78
EST  1970          .       5.93
EST  1971          .       6.01
EST  1972          .       6.08
FIN  1924       5.55       5.01
FIN  1925       5.57       5.09
FIN  1926       5.58       5.14
FIN  1927       5.54       5.15
FIN  1928       5.49       5.15
FIN  1929       5.41       5.12
FIN  1930       5.33       5.07
FIN  1931       5.27       5.01
FIN  1932       5.17       4.91
FIN  1933       5.09       4.83
FIN  1934       5.05       4.77
FIN  1935       5.02       4.72
FIN  1936       5.03       4.71
FIN  1937       5.03       4.69
FIN  1938       5.07       4.74
FIN  1939       5.15       4.78
FIN  1940       5.21       4.85
FIN  1941       5.34       4.96
FIN  1942       5.45       5.06
FIN  1943       5.52       5.14
FIN  1944       5.61       5.23
FIN  1945       5.68       5.32
FIN  1946       5.68       5.33
FIN  1947       5.72       5.35
FIN  1948       5.73       5.34
FIN  1949       5.71       5.33
FIN  1950       5.73       5.35
FIN  1951       5.70       5.32
FIN  1952       5.69       5.31
FIN  1953       5.68       5.31
FIN  1954       5.67       5.30
FIN  1955       5.67       5.30
FIN  1956       5.70       5.31
FIN  1957       5.69       5.30
FIN  1958       5.68       5.30
FIN  1959       5.64       5.26
FIN  1960          .       5.21
FIN  1961          .       5.18
FIN  1962          .       5.15
FIN  1963          .       5.08
FIN  1964          .       5.05
FIN  1965          .       5.05
FIN  1966          .       5.03
FIN  1967          .       5.03
FIN  1968          .       5.07
FIN  1969          .       5.11
FRATNP  1931       5.47       5.13
FRATNP  1932       5.41       5.09
FRATNP  1933       5.32       5.05
FRATNP  1934       5.23       4.99
FRATNP  1935       5.14       4.92
FRATNP  1936       5.05       4.84
FRATNP  1937       4.97       4.76
FRATNP  1938       4.91       4.70
FRATNP  1939       4.86       4.64
FRATNP  1940       4.93       4.66
FRATNP  1941       4.90       4.65
FRATNP  1942       4.93       4.67
FRATNP  1943       4.95       4.69
FRATNP  1944       5.03       4.76
FRATNP  1945       5.09       4.81
FRATNP  1946       5.12       4.84
FRATNP  1947       5.20       4.91
FRATNP  1948       5.28       4.97
FRATNP  1949       5.32       5.02
FRATNP  1950       5.40       5.08
FRATNP  1951       5.44       5.13
FRATNP  1952       5.49       5.17
FRATNP  1953       5.50       5.19
FRATNP  1954       5.51       5.19
FRATNP  1955       5.52       5.19
FRATNP  1956       5.52       5.18
FRATNP  1957       5.53       5.17
FRATNP  1958       5.53       5.16
FRATNP  1959       5.55       5.17
FRATNP  1960       5.56       5.17
FRATNP  1961       5.56       5.18
FRATNP  1962       5.58       5.18
FRATNP  1963          .       5.19
FRATNP  1964          .       5.17
FRATNP  1965          .       5.15
FRATNP  1966          .       5.11
FRATNP  1967          .       5.10
FRATNP  1968          .       5.08
FRATNP  1969          .       5.06
FRATNP  1970          .       5.03
FRATNP  1971          .       5.00
FRATNP  1972          .       4.98
DEUTNP  1941       4.74       4.55
DEUTNP  1942       4.84       4.64
DEUTNP  1943       4.90       4.70
DEUTNP  1944       5.00       4.79
DEUTNP  1945       5.14       4.92
DEUTNP  1946       5.22       4.99
DEUTNP  1947       5.28       5.06
DEUTNP  1948       5.36       5.12
DEUTNP  1949       5.40       5.17
DEUTNP  1950       5.43       5.19
DEUTNP  1951       5.44       5.22
DEUTNP  1952       5.46       5.24
DEUTNP  1953       5.46       5.24
DEUTNP  1954       5.48       5.24
DEUTNP  1955       5.46       5.22
DEUTNP  1956       5.47       5.21
DEUTNP  1957       5.48       5.20
DEUTNP  1958       5.47       5.19
DEUTNP  1959       5.48       5.20
DEUTNP  1960       5.52       5.23
DEUTNP  1961          .       5.24
DEUTNP  1962          .       5.26
DEUTNP  1963          .       5.27
DEUTNP  1964          .       5.29
DEUTNP  1965          .       5.31
DEUTNP  1966          .       5.32
DEUTNP  1967          .       5.35
DEUTNP  1968          .       5.37
DEUTNP  1969          .       5.38
DEUTNP  1970          .       5.41
DEUTW  1941       4.77       4.57
DEUTW  1942       4.89       4.67
DEUTW  1943       4.97       4.76
DEUTW  1944       5.08       4.86
DEUTW  1945       5.24       5.00
DEUTW  1946       5.29       5.05
DEUTW  1947       5.36       5.13
DEUTW  1948       5.44       5.20
DEUTW  1949       5.49       5.25
DEUTW  1950       5.54       5.28
DEUTW  1951       5.58       5.34
DEUTW  1952       5.60       5.36
DEUTW  1953       5.62       5.38
DEUTW  1954       5.63       5.38
DEUTW  1955       5.60       5.35
DEUTW  1956       5.58       5.31
DEUTW  1957       5.55       5.28
DEUTW  1958       5.51       5.23
DEUTW  1959       5.49       5.21
DEUTW  1960       5.49       5.21
DEUTW  1961          .       5.17
DEUTW  1962          .       5.15
DEUTW  1963          .       5.11
DEUTW  1964          .       5.09
DEUTW  1965          .       5.07
DEUTW  1966          .       5.07
DEUTW  1967          .       5.09
DEUTW  1968          .       5.15
DEUTW  1969          .       5.21
DEUTW  1970          .       5.30
DEUTE  1941       4.44       4.32
DEUTE  1942       4.46       4.34
DEUTE  1943       4.44       4.33
DEUTE  1944       4.49       4.37
DEUTE  1945       4.57       4.44
DEUTE  1946       4.63       4.49
DEUTE  1947       4.67       4.54
DEUTE  1948       4.71       4.59
DEUTE  1949       4.73       4.62
DEUTE  1950       4.72       4.60
DEUTE  1951       4.68       4.57
DEUTE  1952       4.65       4.53
DEUTE  1953       4.56       4.44
DEUTE  1954       4.50       4.36
DEUTE  1955       4.42       4.27
DEUTE  1956       4.41       4.22
DEUTE  1957       4.42       4.22
DEUTE  1958       4.42       4.19
DEUTE  1959       4.47       4.23
DEUTE  1960       4.53       4.28
DEUTE  1961          .       4.38
DEUTE  1962          .       4.49
DEUTE  1963          .       4.65
DEUTE  1964          .       4.86
DEUTE  1965          .       5.11
DEUTE  1966          .       5.28
DEUTE  1967          .       5.47
DEUTE  1968          .       5.59
DEUTE  1969          .       5.62
DEUTE  1970          .       5.61
HUN  1935       5.22       4.96
HUN  1936       5.22       4.99
HUN  1937       5.22       5.02
HUN  1938       5.23       5.03
HUN  1939       5.21       5.02
HUN  1940       5.16       4.99
HUN  1941       5.13       4.95
HUN  1942       5.07       4.90
HUN  1943       5.00       4.84
HUN  1944       4.93       4.75
HUN  1945       4.89       4.69
HUN  1946       4.87       4.66
HUN  1947       4.84       4.63
HUN  1948       4.85       4.63
HUN  1949       4.89       4.66
HUN  1950       4.87       4.65
HUN  1951       4.91       4.67
HUN  1952       4.98       4.73
HUN  1953       5.02       4.78
HUN  1954       5.07       4.83
HUN  1955       5.10       4.89
HUN  1956       5.16       4.94
HUN  1957       5.25       5.02
HUN  1958       5.26       5.03
HUN  1959       5.30       5.05
HUN  1960          .       5.06
HUN  1961          .       5.05
HUN  1962          .       5.07
HUN  1963          .       5.06
HUN  1964          .       5.08
HUN  1965          .       5.10
HUN  1966          .       5.17
HUN  1967          .       5.26
HUN  1968          .       5.34
HUN  1969          .       5.44
ISL  1948       5.84       5.50
ISL  1949       5.86       5.55
ISL  1950       5.87       5.50
ISL  1951       5.89       5.60
ISL  1952       6.05       5.70
ISL  1953       6.11       5.77
ISL  1954       6.23       5.85
ISL  1955       6.14       5.84
ISL  1956       6.14       5.83
ISL  1957       6.10       5.84
ISL  1958       6.09       5.83
ISL  1959       6.08       5.77
ISL  1960       6.16       5.74
ISL  1961          .       5.75
ISL  1962          .       5.66
ISL  1963          .       5.62
ISL  1964          .       5.64
ISL  1965          .       5.54
ISL  1966          .       5.57
ISL  1967          .       5.53
ISL  1968          .       5.57
ISL  1969          .       5.59
ISL  1970          .       5.65
JPN  1932       4.34       4.20
JPN  1933       4.27       4.15
JPN  1934       4.20       4.08
JPN  1935       4.14       4.03
JPN  1936       4.09       3.98
JPN  1937       4.03       3.93
JPN  1938       3.98       3.88
JPN  1939       3.92       3.82
JPN  1940       3.86       3.76
JPN  1941       3.81       3.70
JPN  1942       3.78       3.66
JPN  1943       3.77       3.64
JPN  1944       3.77       3.65
JPN  1945       3.81       3.69
JPN  1946       3.87       3.74
JPN  1947       3.92       3.78
JPN  1948       3.96       3.82
JPN  1949       4.01       3.87
JPN  1950       4.07       3.92
JPN  1951       4.12       3.97
JPN  1952       4.16       4.00
JPN  1953       4.18       4.02
JPN  1954       4.19       4.02
JPN  1955       4.19       4.01
JPN  1956       4.19       4.01
JPN  1957       4.21       4.03
JPN  1958       4.25       4.06
JPN  1959       4.31       4.11
JPN  1960          .       4.17
JPN  1961          .       4.23
JPN  1962          .       4.28
JPN  1963          .       4.33
JPN  1964          .       4.37
JPN  1965          .       4.40
JPN  1966          .       4.43
JPN  1967          .       4.46
JPN  1968          .       4.51
JPN  1969          .       4.57
LTU  1944       5.27       4.88
LTU  1945       5.23       4.87
LTU  1946       5.16       4.83
LTU  1947       5.20       4.91
LTU  1948       5.21       4.95
LTU  1949       5.17       4.91
LTU  1950       5.14       4.89
LTU  1951       5.11       4.88
LTU  1952       5.11       4.87
LTU  1953       5.05       4.83
LTU  1954       5.00       4.78
LTU  1955       4.94       4.72
LTU  1956       4.87       4.62
LTU  1957       4.82       4.56
LTU  1958       4.83       4.55
LTU  1959       4.83       4.55
LTU  1960       4.88       4.59
LTU  1961       4.90       4.60
LTU  1962          .       4.56
LTU  1963          .       4.62
LTU  1964          .       4.68
LTU  1965          .       4.74
LTU  1966          .       4.76
LTU  1967          .       4.84
LTU  1968          .       4.94
LTU  1969          .       5.07
LTU  1970          .       5.25
LTU  1971          .       5.38
NLD  1935       4.60       4.41
NLD  1936       4.52       4.34
NLD  1937       4.46       4.27
NLD  1938       4.42       4.21
NLD  1939       4.38       4.17
NLD  1940       4.43       4.17
NLD  1941       4.37       4.15
NLD  1942       4.46       4.21
NLD  1943       4.46       4.23
NLD  1944       4.51       4.29
NLD  1945       4.59       4.35
NLD  1946       4.64       4.43
NLD  1947       4.71       4.50
NLD  1948       4.82       4.59
NLD  1949       4.88       4.65
NLD  1950       4.99       4.75
NLD  1951       5.05       4.81
NLD  1952       5.10       4.86
NLD  1953       5.13       4.90
NLD  1954       5.15       4.91
NLD  1955       5.12       4.89
NLD  1956       5.10       4.85
NLD  1957       5.08       4.83
NLD  1958       5.01       4.76
NLD  1959       5.00       4.74
NLD  1960          .       4.76
NLD  1961          .       4.74
NLD  1962          .       4.78
NLD  1963          .       4.77
NLD  1964          .       4.77
NLD  1965          .       4.75
NLD  1966          .       4.72
NLD  1967          .       4.69
NLD  1968          .       4.70
NLD  1969          .       4.69
NOR  1952       5.53       5.25
NOR  1953       5.62       5.34
NOR  1954       5.72       5.40
NOR  1955       5.68       5.41
NOR  1956       5.70       5.42
NOR  1957       5.69       5.41
NOR  1958       5.64       5.36
NOR  1959       5.58       5.30
NOR  1960          .       5.27
NOR  1961          .       5.23
NOR  1962          .       5.21
NOR  1963          .       5.16
NOR  1964          .       5.14
NOR  1965          .       5.12
NOR  1966          .       5.12
NOR  1967          .       5.16
NOR  1968          .       5.17
NOR  1969          .       5.20
PRT  1925       6.39       5.57
PRT  1926       6.36       5.57
PRT  1927       6.35       5.57
PRT  1928       6.30       5.55
PRT  1929       6.24       5.51
PRT  1930       6.16       5.46
PRT  1931       6.11       5.42
PRT  1932       6.06       5.39
PRT  1933       5.99       5.35
PRT  1934       5.91       5.31
PRT  1935       5.84       5.27
PRT  1936       5.77       5.24
PRT  1937       5.68       5.20
PRT  1938       5.59       5.14
PRT  1939       5.55       5.10
PRT  1940       5.49       5.07
PRT  1941       5.42       5.02
PRT  1942       5.35       4.97
PRT  1943       5.29       4.93
PRT  1944       5.22       4.88
PRT  1945       5.20       4.86
PRT  1946       5.17       4.86
PRT  1947       5.11       4.82
PRT  1948       5.17       4.88
PRT  1949       5.16       4.86
PRT  1950       5.17       4.86
PRT  1951       5.16       4.87
PRT  1952       5.16       4.85
PRT  1953       5.18       4.87
PRT  1954       5.23       4.91
PRT  1955       5.29       4.96
PRT  1956       5.39       5.05
PRT  1957       5.49       5.15
PRT  1958       5.60       5.26
PRT  1959       5.70       5.35
PRT  1960       5.79       5.43
PRT  1961       5.86       5.50
PRT  1962       5.85       5.49
PRT  1963          .       5.54
PRT  1964          .       5.55
PRT  1965          .       5.57
PRT  1966          .       5.56
PRT  1967          .       5.59
PRT  1968          .       5.57
PRT  1969          .       5.57
PRT  1970          .       5.56
PRT  1971          .       5.55
PRT  1972          .       5.54
RUS  1944       5.21       4.91
RUS  1945       5.21       4.90
RUS  1946       5.21       4.91
RUS  1947       5.22       4.94
RUS  1948       5.22       4.98
RUS  1949       5.23       5.01
RUS  1950       5.22       5.03
RUS  1951       5.19       5.03
RUS  1952       5.14       4.99
RUS  1953       5.08       4.93
RUS  1954       5.00       4.85
RUS  1955       4.90       4.75
RUS  1956       4.81       4.65
RUS  1957       4.73       4.55
RUS  1958       4.66       4.47
RUS  1959       4.61       4.41
RUS  1960       4.60       4.38
RUS  1961          .       4.39
RUS  1962          .       4.43
RUS  1963          .       4.51
RUS  1964          .       4.62
RUS  1965          .       4.75
RUS  1966          .       4.89
RUS  1967          .       5.04
RUS  1968          .       5.20
RUS  1969          .       5.35
RUS  1970          .       5.49
SVK  1935       5.15       4.90
SVK  1936       5.12       4.88
SVK  1937       5.09       4.87
SVK  1938       5.07       4.87
SVK  1939       5.05       4.87
SVK  1940       5.03       4.85
SVK  1941       4.97       4.81
SVK  1942       4.94       4.78
SVK  1943       4.94       4.78
SVK  1944       4.88       4.73
SVK  1945       4.83       4.67
SVK  1946       4.76       4.61
SVK  1947       4.71       4.56
SVK  1948       4.69       4.52
SVK  1949       4.68       4.51
SVK  1950       4.67       4.48
SVK  1951       4.65       4.46
SVK  1952       4.66       4.48
SVK  1953       4.66       4.48
SVK  1954       4.66       4.49
SVK  1955       4.69       4.52
SVK  1956       4.70       4.50
SVK  1957       4.71       4.51
SVK  1958       4.72       4.52
SVK  1959       4.72       4.52
SVK  1960          .       4.53
SVK  1961          .       4.55
SVK  1962          .       4.54
SVK  1963          .       4.56
SVK  1964          .       4.62
SVK  1965          .       4.65
SVK  1966          .       4.74
SVK  1967          .       4.85
SVK  1968          .       4.98
SVK  1969          .       5.08
SVN  1968          .       5.27
SVN  1969          .       5.41
SWE  1876       6.24       5.30
SWE  1877       6.25       5.31
SWE  1878       6.26       5.33
SWE  1879       6.27       5.34
SWE  1880       6.27       5.36
SWE  1881       6.27       5.39
SWE  1882       6.25       5.41
SWE  1883       6.24       5.42
SWE  1884       6.22       5.42
SWE  1885       6.21       5.42
SWE  1886       6.19       5.42
SWE  1887       6.17       5.43
SWE  1888       6.18       5.44
SWE  1889       6.17       5.44
SWE  1890       6.14       5.42
SWE  1891       6.11       5.39
SWE  1892       6.09       5.38
SWE  1893       6.09       5.36
SWE  1894       6.10       5.36
SWE  1895       6.12       5.38
SWE  1896       6.14       5.38
SWE  1897       6.16       5.40
SWE  1898       6.20       5.44
SWE  1899       6.30       5.50
SWE  1900       6.38       5.55
SWE  1901       6.44       5.60
SWE  1902       6.49       5.64
SWE  1903       6.51       5.69
SWE  1904       6.52       5.74
SWE  1905       6.51       5.77
SWE  1906       6.47       5.80
SWE  1907       6.40       5.79
SWE  1908       6.32       5.77
SWE  1909       6.25       5.71
SWE  1910       6.15       5.63
SWE  1911       6.02       5.52
SWE  1912       5.91       5.41
SWE  1913       5.83       5.33
SWE  1914       5.75       5.26
SWE  1915       5.68       5.19
SWE  1916       5.64       5.15
SWE  1917       5.61       5.14
SWE  1918       5.60       5.13
SWE  1919       5.58       5.14
SWE  1920       5.60       5.15
SWE  1921       5.61       5.18
SWE  1922       5.62       5.19
SWE  1923       5.61       5.20
SWE  1924       5.62       5.23
SWE  1925       5.62       5.27
SWE  1926       5.62       5.30
SWE  1927       5.61       5.31
SWE  1928       5.56       5.30
SWE  1929       5.51       5.26
SWE  1930       5.44       5.21
SWE  1931       5.39       5.18
SWE  1932       5.32       5.13
SWE  1933       5.25       5.05
SWE  1934       5.20       5.02
SWE  1935       5.14       4.96
SWE  1936       5.11       4.90
SWE  1937       5.07       4.86
SWE  1938       5.07       4.84
SWE  1939       5.08       4.83
SWE  1940       5.10       4.85
SWE  1941       5.16       4.91
SWE  1942       5.22       4.95
SWE  1943       5.31       5.01
SWE  1944       5.37       5.07
SWE  1945       5.42       5.13
SWE  1946       5.51       5.21
SWE  1947       5.60       5.28
SWE  1948       5.67       5.34
SWE  1949       5.67       5.35
SWE  1950       5.72       5.38
SWE  1951       5.72       5.39
SWE  1952       5.73       5.42
SWE  1953       5.75       5.45
SWE  1954       5.75       5.46
SWE  1955       5.72       5.43
SWE  1956       5.66       5.37
SWE  1957       5.55       5.26
SWE  1958       5.46       5.15
SWE  1959       5.38       5.06
SWE  1960       5.35       4.99
SWE  1961       5.28       4.91
SWE  1962          .       4.91
SWE  1963          .       4.88
SWE  1964          .       4.92
SWE  1965          .       4.98
SWE  1966          .       5.03
SWE  1967          .       5.12
SWE  1968          .       5.22
SWE  1969          .       5.27
SWE  1970          .       5.32
SWE  1971          .       5.29
CHE  1917       5.32       4.75
CHE  1918       5.33       4.77
CHE  1919       5.39       4.80
CHE  1920       5.39       4.83
CHE  1921       5.42       4.86
CHE  1922       5.41       4.87
CHE  1923       5.41       4.90
CHE  1924       5.43       4.94
CHE  1925       5.41       4.96
CHE  1926       5.41       4.97
CHE  1927       5.36       4.95
CHE  1928       5.29       4.94
CHE  1929       5.23       4.89
CHE  1930       5.15       4.83
CHE  1931       5.08       4.79
CHE  1932       5.00       4.75
CHE  1933       4.92       4.69
CHE  1934       4.84       4.62
CHE  1935       4.77       4.57
CHE  1936       4.73       4.53
CHE  1937       4.64       4.46
CHE  1938       4.62       4.43
CHE  1939       4.62       4.43
CHE  1940       4.64       4.44
CHE  1941       4.64       4.45
CHE  1942       4.72       4.52
CHE  1943       4.77       4.57
CHE  1944       4.83       4.63
CHE  1945       4.91       4.70
CHE  1946       4.93       4.73
CHE  1947       5.00       4.78
CHE  1948       5.05       4.83
CHE  1949       5.09       4.87
CHE  1950       5.17       4.92
CHE  1951       5.22       4.97
CHE  1952       5.23       4.97
CHE  1953       5.22       4.98
CHE  1954       5.24       4.98
CHE  1955       5.20       4.94
CHE  1956       5.16       4.88
CHE  1957       5.14       4.86
CHE  1958       5.10       4.81
CHE  1959       5.08       4.78
CHE  1960       5.11       4.79
CHE  1961       5.12       4.79
CHE  1962          .       4.81
CHE  1963          .       4.78
CHE  1964          .       4.79
CHE  1965          .       4.78
CHE  1966          .       4.81
CHE  1967          .       4.81
CHE  1968          .       4.84
CHE  1969          .       4.94
CHE  1970          .       4.96
CHE  1971          .       5.03
TWN  1961          .       4.76
TWN  1962          .       4.76
TWN  1963          .       4.75
TWN  1964          .       4.73
TWN  1965          .       4.69
TWN  1966          .       4.65
TWN  1967          .       4.61
TWN  1968          .       4.62
TWN  1969          .       4.65
TWN  1970          .       4.71
GBR_NP  1959       5.70       5.34
GBR_NP  1960       5.73       5.36
GBR_NP  1961       5.76       5.38
GBR_NP  1962          .       5.38
GBR_NP  1963          .       5.39
GBR_NP  1964          .       5.41
GBR_NP  1965          .       5.45
GBR_NP  1966          .       5.52
GBR_NP  1967          .       5.60
GBR_NP  1968          .       5.68
GBR_NP  1969          .       5.75
GBR_NP  1970          .       5.80
GBR_NP  1971          .       5.84
GBRTENW  1923       5.61       5.12
GBRTENW  1924       5.62       5.15
GBRTENW  1925       5.61       5.18
GBRTENW  1926       5.58       5.20
GBRTENW  1927       5.54       5.19
GBRTENW  1928       5.48       5.15
GBRTENW  1929       5.40       5.10
GBRTENW  1930       5.31       5.03
GBRTENW  1931       5.22       4.95
GBRTENW  1932       5.13       4.88
GBRTENW  1933       5.03       4.80
GBRTENW  1934       4.95       4.71
GBRTENW  1935       4.87       4.65
GBRTENW  1936       4.80       4.58
GBRTENW  1937       4.75       4.53
GBRTENW  1938       4.73       4.49
GBRTENW  1939       4.74       4.48
GBRTENW  1940       4.77       4.50
GBRTENW  1941       4.80       4.54
GBRTENW  1942       4.85       4.59
GBRTENW  1943       4.92       4.67
GBRTENW  1944       5.02       4.76
GBRTENW  1945       5.11       4.85
GBRTENW  1946       5.19       4.93
GBRTENW  1947       5.26       5.00
GBRTENW  1948       5.35       5.09
GBRTENW  1949       5.45       5.17
GBRTENW  1950       5.54       5.25
GBRTENW  1951       5.62       5.32
GBRTENW  1952       5.66       5.35
GBRTENW  1953       5.68       5.38
GBRTENW  1954       5.71       5.39
GBRTENW  1955       5.71       5.38
GBRTENW  1956       5.71       5.37
GBRTENW  1957       5.70       5.36
GBRTENW  1958       5.69       5.34
GBRTENW  1959       5.72       5.35
GBRTENW  1960       5.75       5.37
GBRTENW  1961       5.77       5.38
GBRTENW  1962          .       5.39
GBRTENW  1963          .       5.39
GBRTENW  1964          .       5.42
GBRTENW  1965          .       5.46
GBRTENW  1966          .       5.52
GBRTENW  1967          .       5.60
GBRTENW  1968          .       5.68
GBRTENW  1969          .       5.75
GBRTENW  1970          .       5.80
GBRTENW  1971          .       5.84
GBR_SCO  1930       5.28       5.01
GBR_SCO  1931       5.17       4.93
GBR_SCO  1932       5.07       4.85
GBR_SCO  1933       4.98       4.77
GBR_SCO  1934       4.89       4.70
GBR_SCO  1935       4.81       4.64
GBR_SCO  1936       4.76       4.58
