Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year  Age       m1x       m2x       m3x       m4x      m5px
BLR  1989   40   0.02112   0.00723   0.00334   0.00772   0.03007
BLR  1989   41   0.01961   0.00479   0.00184   0.00482   0.01776
BLR  1989   42   0.01088   0.00318   0.00186   0.00353   0.01284
BLR  1989   43   0.00489   0.00129   0.00092   0.00170   0.00862
BLR  1989   44   0.00346   0.00128   0.00059   0.00161   0.00466
BLR  1989   45   0.00113   0.00014   0.00031   0.00057   0.00324
BLR  1989   46   0.00069   0.00013   0.00010   0.00064   0.00098
BLR  1989   47   0.00028   0.00010   0.00008   0.00000   0.00057
BLR  1989   48   0.00000   0.00009   0.00003   0.00000   0.00000
BLR  1989   49   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   50   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   51   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   52   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   53   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   54   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1989   55+  0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1999   12-  0.00000         .         .         .         .
BLR  1999   13   0.00001         .         .         .         .
BLR  1999   14   0.00017   0.00431         .         .         .
BLR  1999   15   0.00166   0.00560         .         .         .
BLR  1999   16   0.00698   0.01559   0.00000         .         .
BLR  1999   17   0.02041   0.03587   0.01405         .         .
BLR  1999   18   0.04589   0.04200   0.03199   0.00000         .
BLR  1999   19   0.08432   0.05100   0.05458   0.06656         .
BLR  1999   20   0.11822   0.05711   0.05114   0.07413   0.16730
BLR  1999   21   0.14410   0.06315   0.05812   0.10306   0.11135
BLR  1999   22   0.15555   0.06670   0.04914   0.08983   0.10883
BLR  1999   23   0.16563   0.06889   0.04719   0.09339   0.11105
BLR  1999   24   0.15845   0.07128   0.04512   0.07804   0.09997
BLR  1999   25   0.15571   0.07376   0.03624   0.07112   0.09474
BLR  1999   26   0.14006   0.07310   0.03217   0.07013   0.13450
BLR  1999   27   0.12828   0.07224   0.02640   0.06706   0.16057
BLR  1999   28   0.11164   0.06946   0.02296   0.05664   0.13528
BLR  1999   29   0.09991   0.06525   0.02143   0.04876   0.13776
BLR  1999   30   0.08398   0.05973   0.01779   0.04198   0.11618
BLR  1999   31   0.08007   0.05451   0.01493   0.03730   0.10036
BLR  1999   32   0.06471   0.04482   0.01257   0.03123   0.09366
BLR  1999   33   0.05728   0.03710   0.01208   0.02781   0.08383
BLR  1999   34   0.04510   0.02881   0.00888   0.01707   0.07569
BLR  1999   35   0.04422   0.02173   0.00688   0.01555   0.05515
BLR  1999   36   0.03518   0.01767   0.00615   0.01368   0.05563
BLR  1999   37   0.02663   0.01147   0.00463   0.01158   0.04833
BLR  1999   38   0.02265   0.00748   0.00324   0.00855   0.03685
BLR  1999   39   0.01924   0.00598   0.00237   0.00664   0.02775
BLR  1999   40   0.01131   0.00395   0.00188   0.00555   0.01922
BLR  1999   41   0.00816   0.00298   0.00108   0.00243   0.01651
BLR  1999   42   0.00504   0.00142   0.00097   0.00261   0.00879
BLR  1999   43   0.00210   0.00074   0.00035   0.00123   0.00423
BLR  1999   44   0.00218   0.00035   0.00014   0.00106   0.00580
BLR  1999   45   0.00023   0.00031   0.00012   0.00055   0.00347
BLR  1999   46   0.00023   0.00006   0.00003   0.00011   0.00065
BLR  1999   47   0.00000   0.00000   0.00005   0.00000   0.00061
BLR  1999   48   0.00046   0.00000   0.00000   0.00000   0.00000
BLR  1999   49   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1999   50   0.00000   0.00000   0.00000   0.00000   0.00000
BLR  1999   51   0.00000   0.00000   0.00001   0.00000   0.00000
BLR  1999   52   0.00000   0.00000   0.00001   0.00000   0.00000
BLR  1999   53   0.00000   0.00000   0.00001   0.00000   0.00000
BLR  1999   54   0.00000   0.00000   0.00001   0.00000   0.00000
BLR  1999   55+  0.00000   0.00000   0.00005   0.00000   0.00000
BGR  2001   12-  0.00010         .         .         .         .
BGR  2001   13   0.00121   0.03704         .         .         .
BGR  2001   14   0.00590   0.03394   0.00000         .         .
BGR  2001   15   0.01483   0.07013   0.00000         .         .
BGR  2001   16   0.02695   0.11339   0.07764   0.00000         .
BGR  2001   17   0.03471   0.14252   0.09120   0.04169         .
BGR  2001   18   0.04710   0.14197   0.09767   0.07604         .
BGR  2001   19   0.06371   0.14217   0.11547   0.06399   0.07249
BGR  2001   20   0.07529   0.12017   0.11682   0.16247   0.07868
BGR  2001   21   0.08016   0.10967   0.10316   0.11791   0.15601
BGR  2001   22   0.08356   0.09497   0.08240   0.14163   0.15197
BGR  2001   23   0.08949   0.08325   0.06322   0.13208   0.19372
BGR  2001   24   0.09740   0.07820   0.04980   0.11437   0.19205
BGR  2001   25   0.10692   0.07124   0.03720   0.10410   0.19303
BGR  2001   26   0.11116   0.06874   0.03014   0.07792   0.17360
BGR  2001   27   0.11717   0.06607   0.02305   0.08299   0.18132
BGR  2001   28   0.10862   0.06258   0.01786   0.06561   0.15069
BGR  2001   29   0.09931   0.05889   0.01284   0.05931   0.14960
BGR  2001   30   0.09784   0.05363   0.00974   0.04719   0.13193
BGR  2001   31   0.08814   0.04475   0.00919   0.02954   0.12768
BGR  2001   32   0.07176   0.03925   0.00750   0.02152   0.10809
BGR  2001   33   0.06954   0.03456   0.00599   0.02146   0.08904
BGR  2001   34   0.05363   0.02658   0.00459   0.01885   0.09300
BGR  2001   35   0.05178   0.02021   0.00395   0.01560   0.06057
BGR  2001   36   0.04375   0.01421   0.00322   0.01120   0.05409
BGR  2001   37   0.03888   0.01293   0.00334   0.00968   0.04625
BGR  2001   38   0.02663   0.00726   0.00212   0.00986   0.03488
BGR  2001   39   0.02280   0.00562   0.00155   0.00478   0.02756
BGR  2001   40   0.01458   0.00424   0.00145   0.00524   0.01877
BGR  2001   41   0.00949   0.00218   0.00059   0.00370   0.01288
BGR  2001   42   0.00807   0.00122   0.00060   0.00233   0.01005
BGR  2001   43   0.00373   0.00122   0.00042   0.00151   0.00252
BGR  2001   44   0.00158   0.00017   0.00021   0.00018   0.00101
BGR  2001   45   0.00063   0.00026   0.00000   0.00018   0.00098
BGR  2001   46   0.00131   0.00026   0.00003   0.00000   0.00048
BGR  2001   47   0.00034   0.00009   0.00000   0.00000   0.00000
BGR  2001   48   0.00000   0.00000   0.00000   0.00000   0.00000
BGR  2001   49   0.00072   0.00000   0.00000   0.00018   0.00000
BGR  2001   50   0.00000   0.00000   0.00000   0.00017   0.00000
BGR  2001   51   0.00000   0.00000   0.00000   0.00000   0.00000
BGR  2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
BGR  2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
BGR  2001   54   0.00000   0.00000   0.00000   0.00000   0.00000
BGR  2001   55+  0.00000   0.00000   0.00000   0.00000   0.00000
CAN  1991   12-  0.00000         .         .         .         .
CAN  1991   13   0.00008   0.00736         .         .         .
CAN  1991   14   0.00136   0.00700         .         .         .
CAN  1991   15   0.00502   0.01364   0.10575         .         .
CAN  1991   16   0.01282   0.03146   0.07295   0.10835         .
CAN  1991   17   0.02407   0.07039   0.07763   0.04204   0.00897
