Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 25/09/2014
Code Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
AUT  1985    29     1.029     0.569     0.348     0.089     0.018     0.005
AUT  1985    30     1.107     0.592     0.379     0.106     0.024     0.007
AUT  1985    31     1.177     0.611     0.406     0.122     0.029     0.009
AUT  1985    32     1.236     0.626     0.428     0.137     0.034     0.011
AUT  1985    33     1.288     0.637     0.446     0.150     0.040     0.014
AUT  1985    34     1.329     0.645     0.459     0.162     0.045     0.017
AUT  1985    35     1.364     0.652     0.470     0.171     0.051     0.021
AUT  1985    36     1.392     0.656     0.477     0.179     0.056     0.024
AUT  1985    37     1.415     0.659     0.482     0.186     0.060     0.028
AUT  1985    38     1.432     0.662     0.486     0.191     0.062     0.031
AUT  1985    39     1.445     0.664     0.489     0.194     0.065     0.033
AUT  1985    40     1.454     0.665     0.491     0.196     0.067     0.036
AUT  1985    41     1.462     0.666     0.493     0.198     0.068     0.037
AUT  1985    42     1.467     0.666     0.493     0.199     0.069     0.039
AUT  1985    43     1.470     0.667     0.494     0.200     0.069     0.040
AUT  1985    44     1.472     0.667     0.494     0.200     0.070     0.041
AUT  1985    45     1.473     0.667     0.495     0.201     0.070     0.041
AUT  1985    46     1.474     0.667     0.495     0.201     0.070     0.041
AUT  1985    47     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    48     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    49     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    50     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    51     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    52     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    53     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    54     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1985    55     1.474     0.667     0.495     0.201     0.070     0.042
AUT  1986    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1986    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1986    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1986    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1986    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1986    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1986    18     0.025     0.024     0.001     0.000     0.000     0.000
AUT  1986    19     0.058     0.054     0.003     0.000     0.000     0.000
AUT  1986    20     0.114     0.103     0.010     0.001     0.000     0.000
AUT  1986    21     0.188     0.162     0.024     0.002     0.000     0.000
AUT  1986    22     0.274     0.223     0.047     0.004     0.000     0.000
AUT  1986    23     0.375     0.286     0.080     0.009     0.001     0.000
AUT  1986    24     0.485     0.347     0.119     0.016     0.002     0.000
AUT  1986    25     0.597     0.403     0.164     0.026     0.004     0.001
AUT  1986    26     0.707     0.452     0.209     0.039     0.006     0.001
AUT  1986    27     0.814     0.495     0.255     0.053     0.009     0.002
AUT  1986    28     0.913     0.533     0.296     0.068     0.013     0.003
AUT  1986    29     1.004     0.563     0.334     0.085     0.017     0.004
AUT  1986    30     1.083     0.588     0.367     0.100     0.022     0.006
AUT  1986    31     1.154     0.608     0.395     0.115     0.028     0.008
AUT  1986    32     1.213     0.622     0.417     0.130     0.034     0.010
AUT  1986    33     1.262     0.634     0.435     0.142     0.039     0.013
AUT  1986    34     1.304     0.642     0.449     0.154     0.044     0.015
AUT  1986    35     1.340     0.649     0.460     0.164     0.049     0.018
AUT  1986    36     1.366     0.653     0.467     0.172     0.053     0.021
AUT  1986    37     1.390     0.657     0.473     0.178     0.057     0.024
AUT  1986    38     1.407     0.659     0.477     0.184     0.060     0.027
AUT  1986    39     1.420     0.661     0.480     0.187     0.063     0.030
AUT  1986    40     1.430     0.662     0.482     0.190     0.065     0.032
AUT  1986    41     1.437     0.663     0.483     0.191     0.067     0.034
AUT  1986    42     1.442     0.664     0.484     0.192     0.068     0.035
AUT  1986    43     1.445     0.664     0.484     0.193     0.068     0.036
AUT  1986    44     1.447     0.664     0.485     0.193     0.069     0.037
AUT  1986    45     1.448     0.664     0.485     0.193     0.069     0.037
AUT  1986    46     1.449     0.664     0.485     0.193     0.069     0.037
AUT  1986    47     1.449     0.664     0.485     0.193     0.069     0.037
AUT  1986    48     1.449     0.664     0.485     0.193     0.069     0.038
AUT  1986    49     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    50     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    51     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    52     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    53     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    54     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1986    55     1.449     0.664     0.485     0.194     0.069     0.038
AUT  1987    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1987    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1987    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1987    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1987    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1987    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1987    18     0.025     0.023     0.001     0.000     0.000     0.000
AUT  1987    19     0.056     0.052     0.004     0.000     0.000     0.000
AUT  1987    20     0.106     0.095     0.010     0.001     0.000     0.000
AUT  1987    21     0.173     0.148     0.023     0.002     0.000     0.000
AUT  1987    22     0.259     0.210     0.045     0.004     0.000     0.000
AUT  1987    23     0.353     0.270     0.075     0.008     0.001     0.000
AUT  1987    24     0.460     0.330     0.113     0.015     0.002     0.000
AUT  1987    25     0.572     0.387     0.156     0.024     0.003     0.001
AUT  1987    26     0.682     0.439     0.201     0.036     0.005     0.001
AUT  1987    27     0.786     0.484     0.244     0.048     0.008     0.002
AUT  1987    28     0.889     0.522     0.288     0.064     0.012     0.003
AUT  1987    29     0.980     0.555     0.325     0.079     0.016     0.004
AUT  1987    30     1.060     0.581     0.357     0.094     0.021     0.006
AUT  1987    31     1.130     0.602     0.385     0.109     0.026     0.008
AUT  1987    32     1.188     0.618     0.408     0.122     0.031     0.010
AUT  1987    33     1.240     0.630     0.427     0.135     0.036     0.013
AUT  1987    34     1.281     0.638     0.441     0.146     0.041     0.015
AUT  1987    35     1.317     0.645     0.453     0.156     0.045     0.018
AUT  1987    36     1.347     0.651     0.461     0.164     0.049     0.021
AUT  1987    37     1.370     0.655     0.467     0.170     0.053     0.024
AUT  1987    38     1.388     0.658     0.472     0.175     0.056     0.027
AUT  1987    39     1.401     0.660     0.475     0.179     0.058     0.030
AUT  1987    40     1.411     0.661     0.477     0.182     0.060     0.032
AUT  1987    41     1.419     0.662     0.478     0.184     0.062     0.033
AUT  1987    42     1.424     0.662     0.479     0.185     0.063     0.035
AUT  1987    43     1.427     0.663     0.480     0.185     0.064     0.036
AUT  1987    44     1.429     0.663     0.480     0.186     0.064     0.037
AUT  1987    45     1.431     0.663     0.480     0.186     0.064     0.037
AUT  1987    46     1.431     0.663     0.480     0.186     0.064     0.038
AUT  1987    47     1.431     0.663     0.480     0.186     0.064     0.038
AUT  1987    48     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    49     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    50     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    51     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    52     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    53     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    54     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1987    55     1.432     0.663     0.480     0.186     0.064     0.038
AUT  1988    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1988    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1988    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1988    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1988    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1988    17     0.008     0.008     0.000     0.000     0.000     0.000
AUT  1988    18     0.024     0.022     0.001     0.000     0.000     0.000
AUT  1988    19     0.054     0.050     0.003     0.000     0.000     0.000
AUT  1988    20     0.105     0.094     0.010     0.001     0.000     0.000
AUT  1988    21     0.172     0.148     0.022     0.002     0.000     0.000
AUT  1988    22     0.255     0.208     0.043     0.004     0.000     0.000
AUT  1988    23     0.351     0.271     0.072     0.008     0.001     0.000
AUT  1988    24     0.456     0.332     0.109     0.014     0.001     0.000
AUT  1988    25     0.567     0.390     0.151     0.022     0.003     0.000
AUT  1988    26     0.679     0.444     0.196     0.033     0.005     0.001
AUT  1988    27     0.787     0.491     0.241     0.046     0.007     0.002
AUT  1988    28     0.891     0.532     0.284     0.062     0.011     0.003
AUT  1988    29     0.983     0.564     0.322     0.078     0.014     0.004
AUT  1988    30     1.067     0.591     0.357     0.094     0.019     0.006
AUT  1988    31     1.141     0.615     0.386     0.110     0.024     0.008
AUT  1988    32     1.204     0.631     0.411     0.124     0.029     0.009
AUT  1988    33     1.255     0.643     0.430     0.137     0.034     0.012
AUT  1988    34     1.297     0.653     0.444     0.148     0.038     0.014
AUT  1988    35     1.335     0.661     0.456     0.158     0.043     0.017
AUT  1988    36     1.365     0.667     0.464     0.166     0.048     0.020
AUT  1988    37     1.388     0.671     0.470     0.173     0.051     0.022
AUT  1988    38     1.405     0.674     0.474     0.178     0.054     0.025
AUT  1988    39     1.419     0.675     0.477     0.182     0.057     0.027
AUT  1988    40     1.429     0.677     0.480     0.184     0.059     0.029
AUT  1988    41     1.436     0.678     0.481     0.186     0.060     0.031
AUT  1988    42     1.440     0.678     0.482     0.187     0.061     0.032
AUT  1988    43     1.443     0.679     0.483     0.188     0.061     0.033
AUT  1988    44     1.445     0.679     0.483     0.189     0.061     0.033
AUT  1988    45     1.446     0.679     0.483     0.189     0.062     0.034
AUT  1988    46     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    47     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    48     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    49     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    50     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    51     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    52     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    53     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    54     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1988    55     1.447     0.679     0.483     0.189     0.062     0.034
AUT  1989    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1989    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1989    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1989    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1989    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1989    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1989    18     0.025     0.024     0.001     0.000     0.000     0.000
AUT  1989    19     0.054     0.050     0.004     0.000     0.000     0.000
AUT  1989    20     0.102     0.092     0.010     0.000     0.000     0.000
AUT  1989    21     0.167     0.144     0.021     0.002     0.000     0.000
AUT  1989    22     0.245     0.201     0.040     0.004     0.000     0.000
AUT  1989    23     0.336     0.260     0.069     0.007     0.001     0.000
AUT  1989    24     0.437     0.318     0.104     0.014     0.001     0.000
AUT  1989    25     0.549     0.376     0.147     0.022     0.003     0.000
AUT  1989    26     0.662     0.431     0.193     0.033     0.005     0.001
AUT  1989    27     0.771     0.478     0.238     0.046     0.007     0.001
AUT  1989    28     0.875     0.518     0.283     0.061     0.011     0.002
AUT  1989    29     0.969     0.551     0.322     0.077     0.015     0.004
AUT  1989    30     1.053     0.578     0.357     0.094     0.019     0.005
AUT  1989    31     1.129     0.600     0.387     0.110     0.024     0.007
AUT  1989    32     1.192     0.617     0.412     0.125     0.029     0.009
AUT  1989    33     1.247     0.631     0.432     0.138     0.034     0.011
AUT  1989    34     1.292     0.641     0.448     0.151     0.039     0.014
AUT  1989    35     1.330     0.649     0.460     0.161     0.044     0.016
AUT  1989    36     1.360     0.655     0.469     0.170     0.048     0.018
AUT  1989    37     1.384     0.659     0.476     0.176     0.052     0.021
AUT  1989    38     1.402     0.662     0.481     0.182     0.055     0.023
AUT  1989    39     1.416     0.664     0.484     0.186     0.057     0.026
AUT  1989    40     1.427     0.665     0.486     0.189     0.059     0.028
AUT  1989    41     1.434     0.666     0.488     0.191     0.061     0.029
AUT  1989    42     1.439     0.667     0.488     0.192     0.061     0.030
AUT  1989    43     1.442     0.667     0.489     0.192     0.062     0.031
AUT  1989    44     1.444     0.668     0.489     0.193     0.063     0.032
AUT  1989    45     1.445     0.668     0.490     0.193     0.063     0.032
AUT  1989    46     1.445     0.668     0.490     0.193     0.063     0.032
AUT  1989    47     1.445     0.668     0.490     0.193     0.063     0.032
AUT  1989    48     1.445     0.668     0.490     0.193     0.063     0.032
AUT  1989    49     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    50     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    51     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    52     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    53     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    54     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1989    55     1.446     0.668     0.490     0.193     0.063     0.032
AUT  1990    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1990    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1990    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1990    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1990    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1990    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1990    18     0.026     0.025     0.002     0.000     0.000     0.000
AUT  1990    19     0.056     0.051     0.005     0.000     0.000     0.000
AUT  1990    20     0.101     0.090     0.010     0.001     0.000     0.000
AUT  1990    21     0.164     0.141     0.022     0.002     0.000     0.000
AUT  1990    22     0.242     0.196     0.042     0.004     0.000     0.000
AUT  1990    23     0.328     0.252     0.069     0.007     0.001     0.000
AUT  1990    24     0.426     0.310     0.103     0.012     0.001     0.000
AUT  1990    25     0.533     0.368     0.143     0.020     0.003     0.000
AUT  1990    26     0.647     0.423     0.188     0.031     0.004     0.001
AUT  1990    27     0.757     0.472     0.233     0.043     0.007     0.002
AUT  1990    28     0.863     0.515     0.278     0.058     0.009     0.002
AUT  1990    29     0.960     0.549     0.319     0.075     0.014     0.003
AUT  1990    30     1.047     0.576     0.356     0.091     0.018     0.005
AUT  1990    31     1.124     0.598     0.388     0.108     0.023     0.007
AUT  1990    32     1.190     0.616     0.414     0.123     0.028     0.009
AUT  1990    33     1.248     0.631     0.437     0.137     0.033     0.010
AUT  1990    34     1.297     0.641     0.455     0.150     0.038     0.012
AUT  1990    35     1.335     0.650     0.467     0.161     0.042     0.015
AUT  1990    36     1.367     0.657     0.477     0.170     0.046     0.017
AUT  1990    37     1.394     0.662     0.485     0.177     0.050     0.019
AUT  1990    38     1.413     0.666     0.490     0.183     0.053     0.021
AUT  1990    39     1.427     0.668     0.494     0.187     0.055     0.023
AUT  1990    40     1.437     0.670     0.496     0.190     0.057     0.025
AUT  1990    41     1.445     0.670     0.497     0.192     0.058     0.027
AUT  1990    42     1.450     0.671     0.499     0.193     0.059     0.028
AUT  1990    43     1.454     0.671     0.499     0.194     0.060     0.029
AUT  1990    44     1.455     0.672     0.500     0.195     0.060     0.029
AUT  1990    45     1.457     0.672     0.500     0.195     0.060     0.030
AUT  1990    46     1.457     0.672     0.500     0.195     0.060     0.030
AUT  1990    47     1.457     0.672     0.500     0.195     0.060     0.030
AUT  1990    48     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    49     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    50     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    51     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    52     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    53     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    54     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1990    55     1.457     0.672     0.500     0.195     0.061     0.030
AUT  1991    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1991    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1991    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1991    15     0.001     0.001     0.000     0.000     0.000     0.000
AUT  1991    16     0.003     0.003     0.000     0.000     0.000     0.000
AUT  1991    17     0.010     0.009     0.000     0.000     0.000     0.000
AUT  1991    18     0.028     0.026     0.002     0.000     0.000     0.000
AUT  1991    19     0.060     0.055     0.004     0.000     0.000     0.000
AUT  1991    20     0.109     0.097     0.010     0.001     0.000     0.000
AUT  1991    21     0.174     0.150     0.023     0.002     0.000     0.000
AUT  1991    22     0.251     0.205     0.041     0.004     0.000     0.000
AUT  1991    23     0.338     0.263     0.066     0.008     0.001     0.000
AUT  1991    24     0.436     0.322     0.099     0.013     0.002     0.000
AUT  1991    25     0.549     0.384     0.140     0.021     0.003     0.000
AUT  1991    26     0.666     0.443     0.186     0.032     0.005     0.001
AUT  1991    27     0.781     0.495     0.232     0.045     0.007     0.001
AUT  1991    28     0.891     0.540     0.278     0.059     0.010     0.002
AUT  1991    29     0.992     0.577     0.321     0.076     0.014     0.003
AUT  1991    30     1.081     0.606     0.359     0.092     0.019     0.005
AUT  1991    31     1.160     0.631     0.391     0.108     0.023     0.006
AUT  1991    32     1.229     0.649     0.419     0.123     0.029     0.008
AUT  1991    33     1.288     0.664     0.440     0.139     0.035     0.011
AUT  1991    34     1.339     0.676     0.459     0.152     0.040     0.013
AUT  1991    35     1.381     0.684     0.473     0.164     0.045     0.015
AUT  1991    36     1.414     0.691     0.484     0.173     0.049     0.017
AUT  1991    37     1.441     0.696     0.493     0.180     0.052     0.019
AUT  1991    38     1.461     0.699     0.499     0.186     0.055     0.021
AUT  1991    39     1.477     0.702     0.503     0.190     0.058     0.024
AUT  1991    40     1.488     0.704     0.506     0.193     0.060     0.026
AUT  1991    41     1.496     0.705     0.507     0.195     0.062     0.027
AUT  1991    42     1.501     0.705     0.508     0.196     0.063     0.028
AUT  1991    43     1.504     0.706     0.509     0.197     0.064     0.029
AUT  1991    44     1.505     0.706     0.509     0.197     0.064     0.030
AUT  1991    45     1.506     0.706     0.509     0.197     0.064     0.030
AUT  1991    46     1.507     0.706     0.509     0.197     0.064     0.030
AUT  1991    47     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    48     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    49     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    50     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    51     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    52     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    53     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    54     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1991    55     1.507     0.706     0.509     0.198     0.064     0.030
AUT  1992    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1992    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1992    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1992    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1992    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1992    17     0.010     0.009     0.001     0.000     0.000     0.000
AUT  1992    18     0.028     0.026     0.002     0.000     0.000     0.000
AUT  1992    19     0.059     0.053     0.005     0.000     0.000     0.000
AUT  1992    20     0.110     0.097     0.013     0.001     0.000     0.000
AUT  1992    21     0.174     0.147     0.025     0.002     0.000     0.000
AUT  1992    22     0.252     0.204     0.044     0.004     0.000     0.000
AUT  1992    23     0.341     0.261     0.070     0.008     0.001     0.000
AUT  1992    24     0.438     0.320     0.103     0.014     0.001     0.000
AUT  1992    25     0.544     0.378     0.141     0.022     0.003     0.001
AUT  1992    26     0.658     0.437     0.185     0.032     0.004     0.001
AUT  1992    27     0.771     0.487     0.231     0.045     0.007     0.002
AUT  1992    28     0.880     0.531     0.277     0.060     0.010     0.002
AUT  1992    29     0.982     0.570     0.320     0.076     0.014     0.003
AUT  1992    30     1.072     0.601     0.357     0.092     0.017     0.005
AUT  1992    31     1.153     0.627     0.390     0.108     0.022     0.006
AUT  1992    32     1.222     0.646     0.418     0.124     0.027     0.008
AUT  1992    33     1.282     0.661     0.441     0.139     0.032     0.010
AUT  1992    34     1.333     0.672     0.460     0.152     0.037     0.012
AUT  1992    35     1.375     0.682     0.475     0.164     0.041     0.014
AUT  1992    36     1.410     0.689     0.486     0.173     0.045     0.016
AUT  1992    37     1.437     0.695     0.494     0.180     0.049     0.018
AUT  1992    38     1.458     0.698     0.501     0.186     0.053     0.020
AUT  1992    39     1.474     0.701     0.505     0.191     0.056     0.023
AUT  1992    40     1.485     0.702     0.507     0.194     0.058     0.024
AUT  1992    41     1.493     0.703     0.509     0.196     0.059     0.026
AUT  1992    42     1.498     0.704     0.511     0.197     0.060     0.027
AUT  1992    43     1.501     0.704     0.511     0.198     0.061     0.027
AUT  1992    44     1.503     0.704     0.511     0.198     0.061     0.028
AUT  1992    45     1.504     0.705     0.512     0.198     0.061     0.028
AUT  1992    46     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    47     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    48     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    49     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    50     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    51     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    52     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    53     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    54     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1992    55     1.505     0.705     0.512     0.199     0.061     0.028
AUT  1993    12     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1993    13     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1993    14     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1993    15     0.000     0.000     0.000     0.000     0.000     0.000
AUT  1993    16     0.002     0.002     0.000     0.000     0.000     0.000
AUT  1993    17     0.009     0.009     0.000     0.000     0.000     0.000
AUT  1993    18     0.026     0.024     0.002     0.000     0.000     0.000
AUT  1993    19     0.056     0.051     0.005     0.000     0.000     0.000
AUT  1993    20     0.107     0.094     0.013     0.001     0.000     0.000
AUT  1993    21     0.172     0.144     0.025     0.002     0.000     0.000
AUT  1993    22     0.248     0.198     0.045     0.005     0.000     0.000
AUT  1993    23     0.336     0.255     0.072     0.008     0.001     0.000
AUT  1993    24     0.432     0.313     0.105     0.013     0.002     0.000
AUT  1993    25     0.537     0.369     0.144     0.020     0.003     0.000
AUT  1993    26     0.649     0.425     0.188     0.031     0.005     0.001
AUT  1993    27     0.760     0.475     0.235     0.042     0.007     0.001
AUT  1993    28     0.871     0.521     0.281     0.056     0.010     0.002
AUT  1993    29     0.973     0.560     0.325     0.072     0.013     0.003
AUT  1993    30     1.067     0.591     0.365     0.088     0.017     0.004
AUT  1993    31     1.148     0.617     0.400     0.104     0.022     0.006
AUT  1993    32     1.218     0.637     0.428     0.120     0.026     0.007
AUT  1993    33     1.278     0.652     0.452     0.134     0.031     0.010
AUT  1993    34     1.328     0.663     0.470     0.147     0.035     0.012
