PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,45,5,C,03,04,1881,10,O,73562,.,.,.,1
GBR_SCO,01,m,50,5,C,03,04,1881,10,O,66543,.,.,.,1
GBR_SCO,01,m,55,5,C,03,04,1881,10,O,50889,.,.,.,1
GBR_SCO,01,m,60,5,C,03,04,1881,10,O,45455,.,.,.,1
GBR_SCO,01,m,65,5,C,03,04,1881,10,O,31215,.,.,.,1
GBR_SCO,01,m,70,5,C,03,04,1881,10,O,22863,.,.,.,1
GBR_SCO,01,m,75,5,C,03,04,1881,10,O,13448,.,.,.,1
GBR_SCO,01,m,80,5,C,03,04,1881,10,O,7058,.,.,.,1
GBR_SCO,01,m,85,5,C,03,04,1881,10,O,1937,.,.,.,1
GBR_SCO,01,m,90,5,C,03,04,1881,10,O,471,.,.,.,1
GBR_SCO,01,m,95,5,C,03,04,1881,10,O,93,.,.,.,1
GBR_SCO,01,m,100,5,C,03,04,1881,10,O,17,.,.,.,1
GBR_SCO,01,m,105,+,C,03,04,1881,10,O,0,.,.,.,1
GBR_SCO,01,m,UNK,.,C,03,04,1881,10,O,0,.,.,.,1
GBR_SCO,01,m,TOT,.,C,03,04,1881,10,O,1799475,.,.,.,1
GBR_SCO,01,f,0,1,C,03,04,1881,10,O,54323,.,.,.,1
GBR_SCO,01,f,1,1,C,03,04,1881,10,O,48268,.,.,.,1
GBR_SCO,01,f,2,1,C,03,04,1881,10,O,50645,.,.,.,1
GBR_SCO,01,f,3,1,C,03,04,1881,10,O,50110,.,.,.,1
GBR_SCO,01,f,4,1,C,03,04,1881,10,O,48820,.,.,.,1
GBR_SCO,01,f,5,5,C,03,04,1881,10,O,222241,.,.,.,1
GBR_SCO,01,f,10,5,C,03,04,1881,10,O,199243,.,.,.,1
GBR_SCO,01,f,15,5,C,03,04,1881,10,O,188597,.,.,.,1
GBR_SCO,01,f,20,5,C,03,04,1881,10,O,177129,.,.,.,1
GBR_SCO,01,f,25,5,C,03,04,1881,10,O,151491,.,.,.,1
GBR_SCO,01,f,30,5,C,03,04,1881,10,O,125130,.,.,.,1
GBR_SCO,01,f,35,5,C,03,04,1881,10,O,113796,.,.,.,1
GBR_SCO,01,f,40,5,C,03,04,1881,10,O,105753,.,.,.,1
GBR_SCO,01,f,45,5,C,03,04,1881,10,O,88611,.,.,.,1
GBR_SCO,01,f,50,5,C,03,04,1881,10,O,80864,.,.,.,1
GBR_SCO,01,f,55,5,C,03,04,1881,10,O,62313,.,.,.,1
GBR_SCO,01,f,60,5,C,03,04,1881,10,O,59899,.,.,.,1
GBR_SCO,01,f,65,5,C,03,04,1881,10,O,41542,.,.,.,1
GBR_SCO,01,f,70,5,C,03,04,1881,10,O,32494,.,.,.,1
GBR_SCO,01,f,75,5,C,03,04,1881,10,O,19098,.,.,.,1
GBR_SCO,01,f,80,5,C,03,04,1881,10,O,11062,.,.,.,1
GBR_SCO,01,f,85,5,C,03,04,1881,10,O,3461,.,.,.,1
GBR_SCO,01,f,90,5,C,03,04,1881,10,O,954,.,.,.,1
GBR_SCO,01,f,95,5,C,03,04,1881,10,O,214,.,.,.,1
GBR_SCO,01,f,100,5,C,03,04,1881,10,O,36,.,.,.,1
GBR_SCO,01,f,105,+,C,03,04,1881,10,O,4,.,.,.,1
GBR_SCO,01,f,UNK,.,C,03,04,1881,10,O,0,.,.,.,1
GBR_SCO,01,f,TOT,.,C,03,04,1881,10,O,1936098,.,.,.,1
GBR_SCO,01,m,0,1,C,05,04,1891,10,O,54723,.,.,.,1
GBR_SCO,01,m,1,1,C,05,04,1891,10,O,48573,.,.,.,1
GBR_SCO,01,m,2,1,C,05,04,1891,10,O,51030,.,.,.,1
GBR_SCO,01,m,3,1,C,05,04,1891,10,O,50352,.,.,.,1
GBR_SCO,01,m,4,1,C,05,04,1891,10,O,50104,.,.,.,1
GBR_SCO,01,m,5,5,C,05,04,1891,10,O,241726,.,.,.,1
GBR_SCO,01,m,10,5,C,05,04,1891,10,O,229237,.,.,.,1
GBR_SCO,01,m,15,5,C,05,04,1891,10,O,210954,.,.,.,1
GBR_SCO,01,m,20,5,C,05,04,1891,10,O,174108,.,.,.,1
GBR_SCO,01,m,25,5,C,05,04,1891,10,O,145132,.,.,.,1
GBR_SCO,01,m,30,5,C,05,04,1891,10,O,129010,.,.,.,1
GBR_SCO,01,m,35,5,C,05,04,1891,10,O,113746,.,.,.,1
GBR_SCO,01,m,40,5,C,05,04,1891,10,O,97307,.,.,.,1
GBR_SCO,01,m,45,5,C,05,04,1891,10,O,84659,.,.,.,1
GBR_SCO,01,m,50,5,C,05,04,1891,10,O,73971,.,.,.,1
GBR_SCO,01,m,55,5,C,05,04,1891,10,O,55559,.,.,.,1
GBR_SCO,01,m,60,5,C,05,04,1891,10,O,49581,.,.,.,1
GBR_SCO,01,m,65,5,C,05,04,1891,10,O,33720,.,.,.,1
GBR_SCO,01,m,70,5,C,05,04,1891,10,O,24830,.,.,.,1
GBR_SCO,01,m,75,5,C,05,04,1891,10,O,14240,.,.,.,1
GBR_SCO,01,m,80,5,C,05,04,1891,10,O,7104,.,.,.,1
GBR_SCO,01,m,85,5,C,05,04,1891,10,O,2361,.,.,.,1
GBR_SCO,01,m,90,5,C,05,04,1891,10,O,582,.,.,.,1
GBR_SCO,01,m,95,5,C,05,04,1891,10,O,95,.,.,.,1
GBR_SCO,01,m,100,5,C,05,04,1891,10,O,13,.,.,.,1
GBR_SCO,01,m,105,+,C,05,04,1891,10,O,0,.,.,.,1
GBR_SCO,01,m,UNK,.,C,05,04,1891,10,O,0,.,.,.,1
GBR_SCO,01,m,TOT,.,C,05,04,1891,10,O,1942717,.,.,.,1
